DefaultSC.TDBModJulian    DefaultSC.MoonMJ2000Eq.X   DefaultSC.MoonMJ2000Eq.Y   DefaultSC.MoonMJ2000Eq.Z   DefaultSC.MoonMJ2000Eq.VX   DefaultSC.MoonMJ2000Eq.VY   DefaultSC.MoonMJ2000Eq.VZ   
30059.5005924254          -1.818989403545856e-12     5803.266159353836          -7701.194305255427         0.4675753279882551          9.71445146547012e-17        -1.318389841742373e-16      
30059.50070816614         4.675752799388647          5803.264572358457          -7701.19219669365          0.4675751892313874          -0.0003173990920886591      0.0004217123668414785       
30059.50082390688         9.351502931454888          5803.259811371507          -7701.18587100759          0.4675747945232333          -0.0006347983385353549      0.0008434248800556765       
30059.50093964762         14.02724783668054          5803.251876390772          -7701.175328195008         0.4675741438629412          -0.0009521978630095997      0.00126513770313668         
30059.50105538836         18.7029849555347           5803.240767412877          -7701.160568251973         0.4675732372490815          -0.001269597789181346       0.001686850999579242        
30059.5011711291          23.37871172847554          5803.226484433224          -7701.141591172898         0.4675720746796466          -0.001586998240721098       0.002108564932878879        
30059.50128686984         28.05442559593394          5803.209027445875          -7701.118396950653         0.4675706561520497          -0.001904399341300076       0.002530279666532159        
30059.50140261059         32.7301239983135           5803.188396443846          -7701.09098557636          0.4675689816631268          -0.002221801214590417       0.002951995364036911        
30059.50151835133         37.40580437597964          5803.164591418637          -7701.059357039601         0.4675670512091342          -0.002539203984265364       0.003373712188892493        
30059.50163409207         42.08146416926502          5803.137612360762          -7701.023511328269         0.4675648647857511          -0.002856607773999435       0.003795430304600035        
30059.50174983281         46.75710081844773          5803.107459259336          -7700.983448428655         0.4675624223880777          -0.003174012707468615       0.004217149874662658        
30059.50186557355         51.43271176376038          5803.074132102367          -7700.939168325393         0.4675597240106355          -0.003491418908350558       0.004638871062585752        
30059.50198131429         56.10829444537376          5803.037630876526          -7700.890671001456         0.4675567696473678          -0.003808826500324752       0.005060594031877211        
30059.50209705503         60.7838463033986           5802.99795556732           -7700.837956438278         0.4675535592916396          -0.004126235607072704       0.005482318946047664        
30059.50221279577         65.45936477787473          5802.955106158915          -7700.781024615513         0.4675500929362371          -0.004443646352278157       0.005904045968610758        
30059.50232853651         70.13484730876553          5802.909082634374          -7700.719875511335         0.4675463705733676          -0.004761058859627229       0.006325775263083346        
30059.50244427725         74.81029133595621          5802.85988497542           -7700.65450910214          0.4675423921946605          -0.005078473252808639       0.006747506992985784        
30059.50256001799         79.48569429924282          5802.80751316261           -7700.584925362811         0.467538157791166           -0.005395889655513873       0.007169241321842157        
30059.50267575873         84.16105363833231          5802.751967175223          -7700.511124266486         0.4675336673533556          -0.00571330819143737        0.007590978413180523        
30059.50279149948         88.83636679282972          5802.693246991257          -7700.433105784788         0.4675289208711222          -0.006030728984276722       0.008012718430533153        
30059.50290724021         93.51163120223646          5802.631352587603          -7700.350869887596         0.4675239183337797          -0.006348152157732836       0.008434461537436787        
30059.50302298096         98.18684430595022          5802.566283939756          -7700.264416543185         0.4675186597300631          -0.006665577835510146       0.008856207897432883        
