-5867.3018214778	414.337484079122	-6965.51198984684	6840.99439685067	5100.0551310408	-3466.16571432578	3872.15327437699	232.409193857631	-19109.0242456028	-58389.0111330337	41126.0655274866	-21891.8068940857	-25963.0913678885	-33215.7321846272	-27351.8681732253
-5869.46866621077	415.44776795269	-7013.13771733751	6849.57060051797	5138.37689290108	-3492.50104017086	3884.4126197001	231.939350256813	-19100.7010359666	-58386.8818990946	41129.5690482394	-21898.1695382247	-25955.1400509975	-33219.9454431459	-27332.4370224427
-5871.50042251509	416.548561158532	-7060.60191589431	6857.99386340257	5176.58377210028	-3518.75838271121	3896.66298232027	231.468557587883	-19092.3320990473	-58384.7513449468	41133.0729101365	-21904.5289025617	-25947.1839219863	-33224.1542197948	-27313.0019019619
-5873.39870081309	417.639955330873	-7107.90548626472	6866.26584051942	5214.67630718916	-3544.93810105008	3908.9043247994	230.996816340776	-19083.9174146771	-58382.6194717309	41136.5771129394	-21910.8849867489	-25939.2229796103	-33228.3585102657	-27293.5628119692
-5875.16508348158	418.722040648514	-7155.04932077022	6874.38815953463	5252.65503307176	-3571.0405519605	3921.1366096056	230.52412700624	-19075.456962526	-58380.4862805867	41140.0816564087	-21917.2377904391	-25931.2572226244	-33232.5583102463	-27274.1197526533
-5876.80112560195	419.794905870047	-7202.03430332871	6882.36242138682	5290.52048097074	-3597.06608985753	3933.35979911312	230.050490077003	-19066.950722101	-58378.3517726543	41143.5865403049	-21923.5873132851	-25923.2866497834	-33236.753615421	-27254.6727242037
-5878.30835555244	420.858638362028	-7248.86130954079	6890.19020087106	5328.27317842271	-3623.01506679093	3945.57385560079	229.575906047015	-19058.3986727461	-58376.2159490735	41147.0917643883	-21929.9335549403	-25915.3112598417	-33240.9444214711	-27235.2217268124
-5879.68827561519	421.913324128836	-7295.53120676147	6897.87304723277	5365.91364926903	-3648.88783243556	3957.77874125174	229.100375411334	-19049.8007936417	-58374.0788109845	41150.5973284187	-21936.2765150584	-25907.3310515535	-33245.1307240732	-27215.7667606727
-5880.94236257623	422.959047841199	-7342.04485416968	6905.41248466235	5403.44241365948	-3674.68473408965	3969.97441815308	228.623898666876	-19041.1570638043	-58371.940359527	41154.1032321556	-21942.6161932934	-25899.3460236727	-33249.3125189017	-27196.3078259797
-5882.07206829355	423.995892863604	-7388.40310284434	6912.81001287227	5440.8599880446	-3700.406116667	3982.16084829465	228.146476311726	-19032.4674620863	-58369.8005958409	41157.6094753583	-21948.9525892995	-25891.3561749528	-33253.4898016267	-27176.8449229304
-5883.07882020509	425.023941279273	-7434.60679585497	6920.06710762548	5478.16688517627	-3726.05232269251	3994.33799356836	227.668108845362	-19023.7319671749	-58367.659521066	41161.1160577858	-21955.2857027316	-25883.3615041471	-33257.6625679147	-27157.3780517232
-5883.96402194214	426.043273919669	-7480.65676831234	6927.18522124313	5515.36361410946	-3751.62369230106	4006.50581576786	227.188796769187	-19014.9505575926	-58365.517136342	41164.6229791966	-21961.6155332445	-25875.3620100086	-33261.830813429	-27137.9072125584
-5884.72905383378	427.053970388777	-7526.55384745086	6934.16578310379	5552.45068020507	-3777.12056323599	4018.66427658772	226.708540585416	-19006.1232116965	-58363.3734428085	41168.1302393491	-21967.9420804939	-25867.35769129	-33265.9945338291	-27118.4324056381
-5885.37527341946	428.056109088182	-7572.29885270423	6941.01020012834	5589.42858513637	-3802.54327084997	4030.81333762227	226.227340798359	-18997.2499076772	-58361.2284416052	41171.6378380012	-21974.2653441352	-25859.3485467435	-33270.1537247711	-27098.953631166
-5885.90401595959	429.049767241697	-7617.89259577794	6947.71985725258	5626.29782689502	-3827.89214810626	4042.9529603658	225.745197913377	-18988.3306235596	-58359.0821338716	41175.1457749107	-21980.5853238245	-25851.3345751216	-33274.3083819071	-27079.4708893477
-5886.31659489818	430.035020918527	-7663.33588073061	6954.29611794185	5663.05889977707	-3853.16752556596	4055.08310621069	225.262112437864	-18979.3653372016	-58356.9345207475	41178.6540498349	-21986.9020192184	-25843.3157751757	-33278.4585008863	-27059.9841803903
-5886.61430233141	431.011945056031	-7708.62950405094	6960.74032450546	5699.71229444875	-3878.3697314306	4067.20373644773	224.778084880323	-18970.354026294	-58354.785603372	41182.162662531	-21993.2154299735	-25835.2921456576	-33282.6040773538	-27040.4935045027
-5886.79840949643	431.980613483116	-7753.77425472537	6967.05379859728	5736.25849793089	-3903.49909152876	4079.31481226502	224.293115750886	-18961.2966683599	-58352.6353828846	41185.6716127557	-21999.5255557469	-25827.2636853184	-33286.7451069513	-27020.9988618958
-5886.87016720822	432.941098942771	-7798.77091431749	6973.23784168457	5772.69799359218	-3928.55592930791	4091.41629474671	223.80720556149	-18952.1932407546	-58350.483860425	41189.1809002655	-22005.832396196	-25819.2303929091	-33290.8815853169	-27001.5002527822
-5886.8308062944	433.893473112315	-7843.62025704287	6979.29373543515	5809.03126117494	-3953.54056584969	4103.50814487331	223.320354825468	-18943.0437206647	-58348.3310371322	41192.6905248164	-22012.1359509787	-25811.1922671805	-33295.0135080851	-26981.9976773758
-5886.68153803403	434.837806625466	-7888.3230498403	6985.22274212042	5845.25877680857	-3978.45331987685	4115.5903235201	222.832564058015	-18933.8480851082	-58346.1769141456	41196.2004861643	-22018.436219753	-25803.1493068827	-33299.140870887	-26962.4911358929
-5886.42355453354	435.774169091717	-7932.88005245882	6991.026105011	5881.38101302547	-4003.29450776099	4127.66279152967	222.343833773688	-18924.6063109744	-58344.0214926043	41199.7107840648	-22024.7332021774	-25795.1015107661	-33303.2636693495	-26942.980628551
