Khon1.x		Khon1.y		Khon1.z		Khon2.x		Khon2.y		Khon2.z		Khon3.x		Khon3.y		Khon3.z		Khon4.x		Khon4.y		Khon4.z
6926.483402	3340.375491	-2666.386913	2920.808074	372.667908	-19179.840063	-125.110422	15917.764870	-11108.749367	-6172.852706	492.711383	-4594.934396
6942.685794	3380.866846	-2695.349834	2934.099361	371.484021	-19172.998515	-139.182719	15913.764430	-11105.636237	-6183.937952	494.979060	-4648.338821
6958.664464	3421.248962	-2724.225770	2947.383777	370.299153	-19166.110208	-153.254872	15909.725232	-11102.496011	-6194.789143	497.228069	-4701.566984
6974.422145	3461.522133	-2753.015059	2960.661286	369.113308	-19159.175123	-167.326847	15905.647256	-11099.328676	-6205.409536	499.458622	-4754.619652
6989.961520	3501.686657	-2781.718043	2973.931851	367.926487	-19152.193243	-181.398609	15901.530483	-11096.134219	-6215.802320	501.670922	-4807.497591
7005.285222	3541.742838	-2810.335063	2987.195435	366.738692	-19145.164550	-195.470126	15897.374892	-11092.912626	-6225.970624	503.865172	-4860.201572
7020.395838	3581.690985	-2838.866462	3000.452000	365.549925	-19138.089025	-209.541363	15893.180463	-11089.663884	-6235.917511	506.041571	-4912.732368
7035.295906	3621.531409	-2867.312584	3013.701509	364.360189	-19130.966651	-223.612286	15888.947176	-11086.387980	-6245.645985	508.200313	-4965.090752
7049.987918	3661.264426	-2895.673771	3026.943925	363.169485	-19123.797409	-237.682861	15884.675011	-11083.084899	-6255.158990	510.341590	-5017.277499
7064.474323	3700.890357	-2923.950367	3040.179211	361.977816	-19116.581280	-251.753054	15880.363946	-11079.754628	-6264.459414	512.465591	-5069.293383
7078.757525	3740.409525	-2952.142717	3053.407328	360.785184	-19109.318245	-265.822831	15876.013962	-11076.397154	-6273.550086	514.572500	-5121.139179
7092.839885	3779.822255	-2980.251163	3066.628240	359.591590	-19102.008286	-279.892158	15871.625037	-11073.012461	-6282.433782	516.662499	-5172.815663
7106.723724	3819.128877	-3008.276051	3079.841908	358.397037	-19094.651384	-293.960999	15867.197150	-11069.600537	-6291.113223	518.735768	-5224.323608
7120.411321	3858.329722	-3036.217722	3093.048294	357.201528	-19087.247519	-308.029322	15862.730280	-11066.161366	-6299.591081	520.792483	-5275.663790
7133.904915	3897.425123	-3064.076521	3106.247362	356.005063	-19079.796671	-322.097092	15858.224406	-11062.694936	-6307.869973	522.832816	-5326.836979
7147.206706	3936.415417	-3091.852790	3119.439072	354.807645	-19072.298821	-336.164273	15853.679506	-11059.201231	-6315.952470	524.856937	-5377.843948
7160.318859	3975.300941	-3119.546871	3132.623388	353.609277	-19064.753950	-350.230832	15849.095559	-11055.680236	-6323.841093	526.865015	-5428.685466
7173.243497	4014.082034	-3147.159105	3145.800270	352.409960	-19057.162037	-364.296734	15844.472543	-11052.131939	-6331.538315	528.857212	-5479.362302
7185.982710	4052.759038	-3174.689834	3158.969680	351.209696	-19049.523063	-378.361944	15839.810436	-11048.556323	-6339.046565	530.833693	-5529.875221
7198.538553	4091.332295	-3202.139396	3172.131581	350.008489	-19041.837007	-392.426428	15835.109215	-11044.953374	-6346.368225	532.794615	-5580.224986
7210.913043	4129.802147	-3229.508131	3185.285934	348.806338	-19034.103848	-406.490151	15830.368860	-11041.323077	-6353.505636	534.740135	-5630.412359
7223.108168	4168.168940	-3256.796376	3198.432701	347.603248	-19026.323567	-420.553077	15825.589347	-11037.665418	-6360.461093	536.670408	-5680.438099
7235.125878	4206.433019	-3284.004469	3211.571841	346.399219	-19018.496142	-434.615173	15820.770653	-11033.980380	-6367.236852	538.585584	-5730.302962
7246.968094	4244.594729	-3311.132745	3224.703318	345.194255	-19010.621552	-448.676402	15815.912757	-11030.267950	-6373.835126	540.485815	-5780.007700
7258.636704	4282.654417	-3338.181539	3237.827093	343.988356	-19002.699776	-462.736731	15811.015636	-11026.528112	-6380.258090	542.371245	-5829.553064
7270.133565	4320.612430	-3365.151183	3250.943125	342.781526	-18994.730794	-476.796123	15806.079266	-11022.760850	-6386.507879	544.242021	-5878.939800
7281.460504	4358.469116	-3392.042011	3264.051378	341.573766	-18986.714583	-490.854544	15801.103624	-11018.966149	-6392.586591	546.098284	-5928.168652
7292.619318	4396.224821	-3418.854352	3277.151810	340.365078	-18978.651122	-504.911958	15796.088688	-11015.143994	-6398.496286	547.940174	-5977.240359
7303.611775	4433.879893	-3445.588537	3290.244385	339.155466	-18970.540389	-518.968330	15791.034433	-11011.294368	-6404.238988	549.767830	-6026.155659
7314.439615	4471.434680	-3472.244892	3303.329061	337.944930	-18962.382362	-533.023625	15785.940837	-11007.417257	-6409.816687	551.581387	-6074.915284
7325.104550	4508.889529	-3498.823744	3316.405800	336.733472	-18954.177020	-547.077807	15780.807875	-11003.512643	-6415.231336	553.380978	-6123.519964
7335.608265	4546.244788	-3525.325419	3329.474562	335.521096	-18945.924339	-561.130841	15775.635524	-10999.580512	-6420.484856	555.166736	-6171.970423
7345.952419	4583.500802	-3551.750239	3342.535308	334.307803	-18937.624298	-575.182691	15770.423760	-10995.620847	-6425.579134	556.938790	-6220.267383
7356.138642	4620.657920	-3578.098527	3355.587999	333.093595	-18929.276873	-589.233321	15765.172558	-10991.633632	-6430.516026	558.697268	-6268.411562
7366.168542	4657.716486	-3604.370602	3368.632594	331.878474	-18920.882043	-603.282695	15759.881894	-10987.618850	-6435.297356	560.442296	-6316.403674
7376.043701	4694.676846	-3630.566783	3381.669054	330.662443	-18912.439784	-617.330778	15754.551745	-10983.576485	-6439.924916	562.173997	-6364.244426
