Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   
0                         1305.195533018152         2617.817247840168         0                         -7396.108020436252        -14834.29773776093        0                         -1305.195533018152        2617.817247840168         0                         7396.108020436252         -14834.29773776093        
-101.2681577468466        1304.735570867779         2616.894288794749         17.87302628112957         -7396.09402624506         -14834.26904970559        101.2681074172433         -1304.735487261147        2616.894567829266         -17.87292478462041        7396.093560834939         -14834.26881827484        
-202.4650647936651        1303.356687950727         2614.127424343285         35.74617132553249         -7396.052043713804        -14834.18298547983        202.4648881701141         -1303.356357573066        2614.128542107035         -35.74576520551636        7396.050182114879         -14834.18205959961        
-303.5197449257394        1301.061887040327         2609.522679285175         53.61936564325879         -7395.98207281233         -14834.03954481275        303.5194028531114         -1301.061152443988        2609.525194269547         -53.61845157282369        7395.977884310589         -14834.03746122457        
-404.361949267055         1297.856143429468         2603.090037593967         71.49253974028397         -7395.884113385575        -14833.83872719196        404.3614385755645         -1297.854852464108        2603.094502596243         -71.49091419414617        7395.876667334407         -14833.83502239193        
-504.922506830495         1293.74636034976          2594.843352769938         89.36562411712657         -7395.758165153558        -14833.58053186341        504.9218590450328         -1293.744365833176        2594.850310940994         -89.36308337298397        7395.746530976729         -14833.57474209683        
-605.1336597449699        1288.741307893826         2584.800225090585         107.238549267393          -7395.604227711621        -14833.26495783144        605.1329395334906         -1288.73846736789         2584.81020653958          -107.2348894073366        7395.587474905944         -14833.25661908733        
-704.9293788148498        1282.85154667648          2572.981848261639         125.1112456763803         -7395.422300530015        -14832.89200385881        704.9286823437142         -1282.847722218139        2572.99536715445          -125.1062625883351        7395.399498668266         -14832.88065186437        
-804.2456556149409        1276.089337731129         2559.412828483531         142.9836438197235         -7395.212382954196        -14832.46166846663        804.2451089115202         -1276.084395772079        2559.43038052175          -142.977133198714         7395.182601687906         -14832.44683868167        
-903.0207679380401        1268.468540344562         2544.120979356667         160.8556741618813         -7394.974474204762        -14831.97394993427        903.0205252857995         -1268.462351452734        2544.143039509974         -160.8474315114145        7394.93678326701          -14831.95517754584        
-1001.195516070162        1260.004499684845         2527.13709634362          178.7272671548417         -7394.708573377342        -14831.4288462995         1001.195758395828         -1259.996938273078        2527.164116731175         -178.7170877881581        7394.662042585667         -14831.40566621619        
-1098.713428044997        1250.71392617625          2508.494714698172         196.5983532366226         -7394.414679442591        -14830.82635535829        1098.714361217702         -1250.704870122892        2508.527122560772         -196.5860322779772        7394.358378701669         -14830.79830220478        
-1195.520932708474        1240.614768618951         2488.22985485656          214.4688628299191         -7394.09279124625         -14830.16647466487        1195.522785660869         -1240.604098809359        2488.268050617218         -214.4541952158033        7394.025790550688         -14830.13308277636        
-1291.567500085948        1229.726083047397         2466.380759276595         232.3387263406476         -7393.742907509033        -14829.44920153159        1291.570522686918         -1229.713682863978        2466.425114737649         -232.3215068210266        7393.664276946336         -14829.41000494827        
-1386.805749175939        1218.067899267888         2442.987624608271         250.2078741565929         -7393.365026826679        -14828.67453302891        1386.810209823409         -1218.053654069954        2443.03848136586          -250.1878972960403        7393.273836579814         -14828.62906549039        
-1481.191523878035        1205.661086922279         2418.092332893575         268.0762366459239         -7392.959147669841        -14827.84246598539        1481.197706827748         -1205.644883560541        2418.150001062138         -268.0532968248008        7392.854468020203         -14827.79026092507        
-1574.683938286995        1192.527222792734         2391.738185234601         285.9437441558402         -7392.525268384139        -14826.95299698762        1574.692140776431         -1192.50894919748         2391.802942564507         -285.9176355713862        7392.406169714173         -14826.8935875271         
-1667.24539303605         1178.688460898527         2363.969641047792         303.8103270111023         -7392.063387189934        -14826.00612237997        1667.255922294717         -1178.668005771819        2364.041732492449         -303.7808436785708        7391.928939986043         -14825.93904132358        
-1758.841564743416        1164.167406753753         2334.832065654045         321.6759155126638         -7391.573502182669        -14825.00183826484        1758.854734996072         -1164.144659380312        2334.911703409394         -321.6428512663842        7391.422777037893         -14824.92661809389        
-1849.4413709004          1148.986996951804         2304.371488554956         339.5404399362451         -7391.055611332355        -14823.94014050229        1849.457500469187         -1148.961847131141        2304.458852558688         -339.5035884305835        7390.887678949162         -14823.85631336947        
-1939.016912737148        1133.170385039179         2272.634374331712         357.4038305308786         -7390.509712483909        -14822.82102471005        1939.036321335036         -1133.142723128432        2272.729613179719         -357.3629852413578        7390.323643676937         -14822.72812243388        
-2027.543398717156        1116.740834432247         2239.667407689354         375.2660175175406         -7389.935803356871        -14821.64448626354        2027.566405002784         -1116.710551482625        2239.770639905299         -375.2209717417136        7389.730669055716         -14821.54204032265        
-2114.999051349732        1099.721618936805         2205.517293769517         393.126931087696          -7389.333881545404        -14820.41052029558        2115.025970789124         -1099.688606901211        2205.628609352541         -393.0774779461644        7389.108752797416         -14820.29806182312        
-2201.364999982397        1082.135931240104         2170.230574480782         410.9865014018724         -7388.703944518464        -14819.11912169648        2201.396143038131         -1082.10008323018         2170.35003665305          -410.9324338391889        7388.457892491249         -14818.99618147433        
-2286.625162150827        1064.006799579831         2133.853461253777         428.844658588263          -7388.045989619277        -14817.77028511374        2286.660832798982         -1063.968010150245        2133.981108334556         -428.7857693737897        7387.778085603786         -14817.63639356702        
-2370.766115936363        1045.357012640801         2096.431684324372         446.7013327412569         -7387.360014065809        -14816.36400495213        2370.806610495667         -1045.315178084536        2096.567531666311         -446.6374144701113        7387.069329478778         -14816.21869214339        
-2453.776965618905        1026.20905260148          2058.010358385276         464.5564539200859         -7386.646014950296        -14814.90027537345        2453.8225718662           -1026.16407124151         2058.154400319065         -464.4872990138683        7386.3316213371           -14814.74307099692        
-2535.649202727669        1006.585036140459         2018.6338642232           482.4099521473254         -7385.903989239363        -14813.37909029645        2535.700199268264         -1006.536808608507        2018.786075969721         -482.3353528549778        7385.564958276809         -14813.20952367244        
-2616.376564392005        986.5066631233785         1978.345745777362         500.2617574074538         -7385.133933774021        -14811.80044339664        2616.433220251318         -986.4550926189404        1978.506085296249         -500.1815058060747        7384.769337272795         -14811.61804346577        
-2695.954890686902        965.9951726172585         1937.188621909794         518.111799645485          -7384.335845269437        -14810.1643281063         2696.017465090539         -965.9401651443914        1937.357031663152         -518.0256876410131        7383.94475517713          -14809.96862342372        
-2774.381982459177        945.0713058268302         1895.204112068779         535.9600087655126         -7383.509720314934        -14808.47073761417        2774.450724771246         -945.0127704054466        1895.38052068642          -535.86782809344          7383.091208718542         -14808.26125634386        
-2851.6574609167          923.7552755053039         1852.432774948247         553.8063146292116         -7382.655555373873        -14806.71966486546        2851.732610708612         -923.6931243584841        1852.617098786606         -553.7078568553407        7382.208694502595         -14806.49593477443        
-2927.782630066358        902.0667413698393         1808.914059197064         571.6506470544846         -7381.773346783652        -14804.91110256157        2927.864417292672         -902.0008900866378        1809.106203788135         -571.5457035755244        7381.297209011565         -14804.67265101409        
-3002.760342902562        880.0247910371399         1764.686265205033         589.4929358139634         -7380.863090755709        -14803.04504316003        3002.848988162717         -879.9551587124006        1764.886126594647         -589.3812978581554        7380.35674860439          -14802.79139711181        
-3076.594872076224        857.6479259926127         1719.786516988243         607.3331106335681         -7379.924783375056        -14801.12147887427        3076.690586944809         -857.5744353450718        1719.993982965301         -607.2145692613558        7379.387309516431         -14800.85216486669        
-3149.291785618057        834.954052112007          1674.250743207871         625.1711011911102         -7378.958420600684        -14799.14040167353        3149.394773028194         -834.8766295817331        1674.465694427403         -625.0454472956044        7378.388887859473         -14798.85494582777        
-3220.857828148932        811.9604742673691         1628.113666382444         643.006837114779          -7377.963998265099        -14797.10180328263        3220.968282815622         -811.8790500941104        1628.33597738613          -642.8738614223839        7377.361479621788         -14796.79973129384        
-3291.300807884283        788.6838945671916         1581.408799389581         660.8402479817159         -7376.941512074496        -14795.0056751818         3291.418916756389         -788.5984028506209        1581.638339528523         -660.6997410525801        7376.30508066772          -14794.68651231326        
-3360.629489629864        765.140413802641          1534.168448398879         678.6712633165589         -7375.890957608528        -14792.85200860657        3360.755432360893         -765.0507925456041        1534.405082663172         -678.5230155451136        7375.21968673775          -14792.51527968378        
-3428.853493870556        741.3455356970662         1486.423721426923         696.4998125899874         -7374.812330320012        -14790.64079454745        3428.987443299644         -741.2517268331721        1486.667311187601         -696.3436142053542        7374.105293448549         -14790.28602395227        
-3495.983201972733        717.3141735832323         1438.204541760701         714.3258252172818         -7373.705625535338        -14788.37202374981        3496.125324608394         -717.216122989892         1438.454945429345         -714.1614662836946        7372.961896292574         -14787.99873541461        
-3562.029667452065        693.0606591594988         1389.539665551274         732.1492305568245         -7372.570838453888        -14786.04568671377        3562.18012395245          -692.9583166578668        1389.796739163139         -731.9765009740076        7371.789490638068         -14785.65340411538        
-3627.004533202533        668.598753007187          1340.456702937314         749.9699579086446         -7371.407964148151        -14783.66177369384        3627.163478846604         -668.4920723498799        1340.720300663495         -749.7886474121915        7370.588071729173         -14783.25001984768        
