Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
-864.9896387785848        5419.680494506727         4547.630745556264         -1920.812979376322        -5848.294869298465        -4907.28284850897         3384.955827198108         -5411.876162901171        -4541.08181823435         5419.620082501846         864.9446650884347         -4547.610522514937        -5837.272981075032        1914.905728772632         4898.072649716662         -5416.157971504872        -3386.674462498515        4544.69789443849          
-915.6114758176845        5415.038737505325         4543.733282390545         -1876.128200547755        -5857.267469548562        -4914.809407371707        3426.271042405613         -5395.704480179178        -4527.50957705811         5414.970939688748         915.5612186967046         -4543.710496354732        -5846.236887478924        1870.181866761122         4905.596516734164         -5399.987746393148        -3427.974064331618        4531.129615882499         
-966.1887728353468        5410.133397791884         4539.61450013108          -1831.375412646739        -5866.028526822862        -4922.15832351541         3467.460436023364         -5379.334966927301        -4513.771190911881        5410.057779724273         966.1329587863875         -4539.588984151022        -5854.988015609735        1825.390262558882         4912.94196172079          -5383.61949010531         -3469.147940096096        4517.395167991956         
-1016.719069948682        5404.964751109015         4535.274630216998         -1786.55624968253         -5874.577771804063        -4929.329370693828        3508.522442213245         -5362.768143583846        -4499.86709682722         5404.880876895142         1016.657428607286         -4535.24621490587         -5863.526093007938        1780.532559173822         4920.108755051682         -5367.053721332966        -3510.194530685141        4503.49498491679          
-1067.199910604235        5399.53308788914          4530.713916427951         -1741.672347020562        -5882.914941854018        -4936.322328274779        3549.455497935996         -5346.004537323839        -4485.797737498622        5399.44052015846          1067.13217473746          -4530.682429926936        -5871.850853956392        1735.610400945938         4927.09667275197          -5350.290965476612        -3551.112279750116        4489.429506437795         
-1117.628841750571        5393.8387132262           4525.932614860329         -1696.725341347134        -5891.039781013504        -4943.136981239833        3590.258042992195         -5329.044682058506        -4471.563561283256        5393.737013113147         1117.554747253656         -4525.897882803809        -5879.96203947904         1690.625433512032         4933.905496495601         -5333.331754645726        -3591.899633740773        4475.199177967064         
-1168.003414010425        5387.881946845388         4520.930993902119         -1651.716870634118        -5898.952040001925        -4949.773120184022        3630.928520063346         -5311.88911843457         -4457.16502220041         5387.770673969892         1167.92269990145          -4520.892839382868        -5887.859397339591        1645.579303770675         4940.535013604385         -5316.176627659064        -3632.555041944899        4460.804450548138         
-1218.32118185221         5381.663123072241         4515.709334206564         -1606.648574103761        -5906.651476216794        -4956.230541315686        3671.465374753185         -5294.538393834024        -4442.602579930972        5381.541835519893         1218.233590264281         -4515.667577741086        -5895.542682040308        1600.473659847106         4946.985017046973         -5298.826130044705        -3673.076956528763        4446.245780856261         
-1268.579703761119        5375.182590799464         4510.267928664776         -1561.522092193612        -5914.137853733613        -4962.509046455991        3711.867055629045         -5276.993062373251        -4427.876699817018        5375.050845102058         1268.48497993272          -4510.222388158669        -5903.011654820657        1555.310151058307         4953.255305437953         -5281.28081404019         -3713.463832577108        4431.523631198419         
-1318.77654240944         5368.440713453223         4504.607082376926         -1516.339066521468        -5921.410943305294        -4968.608443038829        3752.132014263465         -5259.253684902214        -4412.987852861086        5368.298064568924         1318.674434672634         -4504.557573090598        -5910.266083656097        1510.090427878196         4959.345683036721         -5263.541238592588        -3753.71412813419         4416.638469513535         
-1368.90926482655         5361.437868957059         4498.727112622553         -1471.101139850376        -5928.470522361924        -4974.52854411045         3792.258705276035         -5241.320829003933        -4397.93651572548         5361.283870251224         1368.799524592818         -4498.673447136913        -5917.305743256773        1464.816141903168         4965.255959746748         -5245.607969358374        -3793.826304243994        4401.590769372589         
-1418.975442567986        5354.174449695391         4492.628348829254         -1425.809956053796        -5935.316375010472        -4980.269168329163        3832.24558637524          -5223.195068993606        -4382.723170731711        5354.008652921053         1418.857824312116         -4492.570337012061        -5924.130415066335        1419.488945817051         4970.9859511143           -5227.481578703533        -3833.798824991565        4386.381009978446         
-1468.972651884149        5346.650862474809         4486.311132540752         -1380.46716008072         -5941.948292034212        -4985.830139965081        3872.091118400669         -5204.876985917334        -4367.348305859603        5346.472817753776         1468.846913125715         -4486.24858151286         -5930.739887260701        1374.110493357177         4976.535478327773         -5209.162645703356        -3873.630157543987        4371.00967616617          
-1518.898473888083        5338.867528484552         4479.775817383372         -1335.074397920951        -5948.366070892778        -4991.21128889994         3911.793765365219         -5186.367167551769        -4351.81241474647         5338.676784288458         1518.764375171275         -4479.708531485492        -5937.133954746794        1328.682439279452         4981.904368216638         -5190.651756142266        -3913.318772191531        4355.477258402621         
-1568.750494722757        5330.824883255176         4473.022769031522         -1289.633316570325        -5954.569515721349        -4996.412450626638        3951.351994497658         -5167.666208402545        -4336.115996686218        5330.620986387119         1568.607799593417         -4472.95054979148         -5943.312419161375        1283.206439324422         4987.092453250458         -5171.949502513657        -3952.863142389571        4339.784252786572         
-1618.526305727471        5322.523376616242         4466.052365172043         -1244.145563996164        -5960.558437330648        -5001.433466249116        3990.764276285234         -5148.774709703226        -4320.259556628473        5322.305872192592         1618.374780708575         -4465.975011272327        -5949.275088869879        1237.684150182933         4992.0995715381           -5153.056484019602        -3992.261744800024        4323.931161048531         
-1668.223503603702        5313.963472652365         4458.864995467331         -1198.612789102626        -5966.33265320654         -5006.27418248207         4030.029084516485         -5129.693279414321        -4304.243605177384        5313.731904085027         1668.062918168318         -4458.782302713225        -5955.021778965209        1192.117229461961         4996.925566826772         -5133.973306570493        -4031.513059333374        4307.918490550393         
-1717.839690579945        5305.145649657992         4451.461061517533         -1153.036641696221        -5971.891987509618        -5010.934451650624        4069.144896324258         -5110.422532221884        -4288.068658590782        5304.899558637204         1717.669817122282         -4451.37282280557         -5960.552311266598        1146.507335650793         5001.570288501098         -5114.700582784644        -4070.615569190821        4291.746754285326         
-1767.372474575983        5296.070400090946         4443.8409768212           -1107.418772451303        -5977.236271074973        -5015.414131690108        4108.110192228953         -5090.963089536061        -4271.735238778725        5295.809326568487         1767.193088380329         -4443.746982108481        -5965.866514318521        1100.856128086743         5006.033591582353         -5095.238931987813        -4109.567760906531        4275.416470877448         
-1816.819469366237        5286.73823052441          4436.005166735413         -1061.760832875647        -5982.365341411904        -5019.713086145843        4146.923456181845         -5071.315579489747        -4255.243873302505        5286.461712697477         1816.63034857373          -4435.905203009286        -5970.964223389528        1055.165266921686         5010.315336727508         -5075.58898021272         -4148.368124390487        4258.928164581303         
-1866.178294742305        5277.149661598029         4427.954068434163         -1016.064475276158        -5987.279042703391        -5023.831184172828        4185.583175608655         -5051.480636937078        -4238.595095373283        5276.857235893447         1865.979220315639         -4427.847919682594        -5975.845280471156        1009.43641308794          5014.415390228532         -5055.751360198352        -4187.015152970969        4242.282365281601         
-1915.446576674629        5267.305227966921         4419.688130866154         -970.3313527244027        -5991.977225806157        -5027.768300535536        4224.087841453336         -5031.458903451567        -4221.789443850663        5266.996429026447         1915.237332360703         -4419.575578048913        -5980.50953427692         963.6712282646913         5018.333624011429         -5035.726711389347        -4225.507343437523        4225.479608492635         
-1964.621947473308        5257.205478250282         4411.207814711233         -924.5631190224958        -5996.459748249967        -5031.524315607705        4262.435948221959         -5011.251027324877        -4204.827463241294        5256.879838916197         1964.402319763904         -4411.088635731576        -5984.956840241211        917.871374844457          5022.069915635511         -5015.515679935212        -4263.843196084548        4208.520435357757         
-2013.702045948026        5246.850974978239         4402.513592335774         -878.7614286687458        -6000.726474237745        -5035.099115371966        4300.625994026908         -4990.8576635645          -4187.709703697328        5246.508026279786         2013.471824038541         -4402.387562013057        -5989.187060518321        872.0385158993886         5025.624148292642         -4995.118918689477        -4302.021214754321        4191.405392648681         
-2062.684517566988        5236.242294537195         4393.605947747041         -832.9279368235293        -6004.77727464505         -5038.492591419868        4338.656480631122         -4970.27947389218         -4170.436721014848        5235.881565678035         2062.443493312807         -4393.472837790177        -5993.200063981363        826.1743151478586         5028.996210806479         -4974.537087208795        -4340.03990688076         4174.135032764898         
-2111.567014615037        5225.380027114472         4384.485376546421         -787.0642992751236        -6008.61202701967         -5041.704640951444        4376.525913492689         -4949.517126741877        -4153.009076632181        5225.001045460638         2111.314982486481         -4384.344955528068        -5996.995726221387        780.2804369209916         5032.185997631692         -4953.770851751964        -4377.897783533321        4156.709913732775         
-2160.34719635066         5214.264776641445         4375.152385881753         -741.1721724055387        -6012.230615581851        -5044.735166775004        4414.232801809456         -4928.571297257615        -4135.427337628062        5213.867067710264         2160.083953385532         -4375.004419213335        -6000.573929546386        734.3585461293114         5035.193408853258         -4932.82088527875         -4415.593359461171        4139.130599204858         
