Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   
0                         1153.668461487163         2169.734807754256         0                         -4614.673845948535        -8678.939231016993        0                         -1153.668461487163        2169.734807754256         0                         4614.673845948535         -8678.939231016993        
-107.1794710836402        1152.982767461275         2168.444499371806         26.80014213298273         -4614.631171581103        -8678.858619865234        107.1794140300917         -1152.982735415339        2168.445199847658         -26.80008211906534        4614.630898200441         -8678.858476099849        
-214.2317328360223        1150.927966591786         2164.577873092348         53.5999021512398          -4614.50314803049         -8678.616785324295        214.2315843086253         -1150.927844783757        2164.580662790686         -53.59966201841598        4614.502054541721         -8678.616210012347        
-321.0304397819709        1147.510871803504         2158.147762547072         80.39878144179238         -4614.289773662051        -8678.213723974797        321.0302743953216         -1147.510608366516        2158.153995146044         -80.39824097232486        4614.287313393608         -8678.212428948173        
-427.4511701116571        1142.742734674364         2149.175357234111         107.1962813064893         -4613.991045558243        -8677.649430009362        427.4511544198904         -1142.742281050363        2149.186336303683         -107.1953201737924        4613.98667190125          -8677.64712669779         
-533.3723280643753        1136.639094653132         2137.689916326461         133.9919029213925         -4613.606959518394        -8676.923895232059        533.372703801273          -1136.638406148995        2137.706889506459         -133.9904006935976        4613.600125933124         -8676.92029464824         
-638.6759850171366        1129.219576282485         2123.728385189781         160.7851472961047         -4613.137510058528        -8676.037109058147        638.6770568304928         -1129.218614874117        2123.752545382333         -160.7829834394652        4613.127670080983         -8676.031921782385        
-743.2486456389743        1120.507640755211         2107.334926890762         187.5755152331258         -4612.582690411073        -8674.989058513369        743.2507753012178         -1120.506378624006        2107.367416597495         -187.5725691151747        4612.569297659502         -8674.981994678412        
-846.9819285935082        1110.530298725178         2088.560381835734         214.3625072870636         -4611.942492524046        -8673.779728233028        846.985535149448          -1110.528720976668        2088.602296631871         -214.3586581795971        4611.925000705582         -8673.770497508754        
-949.7731539720698        1099.317791631736         2067.461669032462         241.1456237239181         -4611.216907061054        -8672.409100461227        949.7787173671095         -1099.315897135064        2067.514057332592         -241.1407508056582        4611.194769977999         -8672.39741203931         
-1051.525832016632        1086.903249011084         2044.101142637286         267.9243644802191         -4610.405923400307        -8670.877155049646        1051.533896944049         -1086.901049031818        2044.165000745677         -267.9183468393312        4610.37859495671          -8670.862717628042        
-1152.150049951495        1073.322329393472         2018.545917582            294.6982291221066         -4609.509529634088        -8669.183869456319        1152.161227006101         -1073.319844396145        2018.622180836799         -294.6909457584989        4609.476463842031         -8669.166391223873        
-1251.562756068277        1058.612852385791         1990.867178141343         321.4667168044107         -4608.527712567942        -8667.329218744126        1251.577718475804         -1058.610107843881        1990.95671020259          -321.4580466316838        4608.488363554061         -8667.308407364966        
-1349.687942694974        1042.81442935206          1961.139483152278         348.2293262294843         -4607.460457719921        -8665.313175579387        1349.707418378064         -1042.811451535439        1961.243065874442         -348.2191480768379        4607.414279731456         -8665.288738177303        
-1446.456732259001        1025.968099663442         1929.44008100807          374.9855556061666         -4606.307749319414        -8663.135710229952        1446.481492271821         -1025.964912198309        1929.558406938653         -374.973748219898         4606.254196730792         -8663.107353372703        
-1541.807373094285        1008.115978767804         1895.848246386711         401.7349026084121         -4605.069570306281        -8660.796790563501        1541.838218170189         -1008.112600413791        1895.981915051612         -401.7213446532842        4605.008097625279         -8660.764220246958        
-1635.685153661834        989.300923373492          1860.444648958626         428.4768643339776         -4603.745902329858        -8658.296382045286        1635.722900704684         -989.2973670845968        1860.594167123782         -428.461434394354         4603.675964203663         -8658.259303677711        
-1728.042245248405        969.5662179454812         1823.310762238252         455.2109372629493         -4602.336725747562        -8655.634447736142        1728.087715214439         -969.5624909963808        1823.476547578874         -455.1935138436093        4602.257776969112         -8655.592566122155        
-1818.837483916926        948.9552855847287         1784.528318543365         481.9366172160226         -4600.842019623553        -8652.810948290018        1818.891491937451         -948.9513904036721        1784.710705743433         -481.9170787428593        4600.753515137767         -8652.763967614563        
-1908.036102576618        927.5114252968924         1744.178813926235         508.6533993128833         -4599.261761727685        -8649.825841951446        1908.099450589565         -927.5073606362566        1744.378062155854         -508.6316241332534        4599.163156637398         -8649.773465763807        
-1995.609423663976        905.2775767199346         1702.343065089517         535.3607779301528         -4597.595928533759        -8646.679084552976        1995.682895392296         -905.2733388692723        1702.559365957393         -535.3366443130799        4597.48667810607          -8646.621015750454        
-2081.534522240298        882.296112584474          1659.100818755338         562.0582466594497         -4595.844495218247        -8643.370629512297        2081.618880114998         -882.2916964362958        1659.334304085816         -562.0316327954934        4595.724054890161         -8643.30657032397         
-2165.793868449866        858.6086585341254         1614.530412714754         588.7452982650866         -4594.007435658365        -8639.900427829212        2165.889851996079         -858.6040584138245        1614.781161757419         -588.7160822660808        4593.875261043257         -8639.830079799693        
-2248.374957332257        834.2559394157724         1568.708486811229         615.4214246417105         -4592.084722430678        -8636.268428082578        2248.483282565707         -834.2511496621883        1568.976532704895         -615.3894845400937        4591.940269324055         -8636.191492055397        
-2329.269932997311        809.2776507455856         1521.709741369297         642.0861167716648         -4590.076326809183        -8632.47457642699         2329.391292463653         -809.272666077828         1521.99507683111          -642.0513305197819        4589.919051194622         -8632.390752528125        
-2408.475213185229        783.7123537628795         1473.606740034942         668.7388646823092         -4587.982218763325        -8628.518816589291        2408.610276376639         -783.7071694894112        1473.909322334395         -668.701110151218         4587.811576818523         -8628.427804210514        
-2485.991119273996        757.5973922745907         1424.46975362298          695.3791574029165         -4585.802366956254        -8624.401089865074        2486.140533253361         -757.5920044055092        1424.789508939924         -695.3383123811655        4585.617815058795         -8624.302587647166        
-2561.821515884294        730.9688293748768         1374.366641346714         722.0064829215989         -4583.536738742725        -8620.121335114731        2561.985906023256         -730.9632346882136        1374.703468618245         -721.9624251135683        4583.337733476015         -8620.015040930739        
-2635.973463385351        703.8614020660752         1323.362765710655         748.6203281418275         -4581.185300166893        -8615.67948875975         2636.153434174616         -703.8555981646641        1323.716540057736         -748.5729351659538        4580.971298325981         -8615.565099697822        
-2708.456885835913        676.3084918145323         1271.520937358873         775.2201788387902         -4578.748015960096        -8611.075484778383        2708.653021756822         -676.3024771942291        1271.891513160168         -775.1693282254564        4578.518474557437         -8610.952697125002        
-2779.284256208906        648.3421091198688         1218.90138626346          801.8055196155619         -4576.224849538587        -8606.309254701657        2779.49712266706          -648.3358832552331        1219.288599922089         -801.7510888047109        4575.979225809861         -8606.177763924206        
