Khon5.A1ModJulian         Khon5.CRTBP.X             Khon5.CRTBP.Y             Khon5.CRTBP.Z             Khon5.CRTBP.VX            Khon5.CRTBP.VY            Khon5.CRTBP.VZ            
31438.50042863868         -62999.73899999998        1.023181539494544e-12     -65927.58300000003        -3.794707603699266e-19    0.1121659999999999        -3.794707603699266e-19    
31438.50112308312         -62999.73938848601        6.728290922379244         -65927.58111443993        -1.294970844218328e-05    0.1121639692338936        6.285468247582357e-05     
31438.50310987403         -62999.74479151859        25.9771153987719          -65927.55489180028        -5.000200298659795e-05    0.1121581588031168        0.0002426787575578912     
31438.50874150332         -62999.79467765849        80.53316452201216         -65927.31281685142        -0.0001550559502796077    0.1121416853473592        0.0007523813328324581     
31438.52555399511         -63000.24783230764        243.3553611204613         -65925.1149057775         -0.000468928800375245     0.112092475892386         0.002273891213258509      
31438.55680399511         -63002.30260380174        545.8087887548878         -65915.15856412271        -0.001053346080522124     0.1120009006266024        0.00510135583894206       
31438.58805399511         -63005.93712280961        848.0145931238045         -65897.56962700651        -0.001639120725214279     0.1119092073328019        0.007927890301119053      
31438.61930399511         -63011.15512348044        1149.97250478928          -65872.35080107328        -0.002226303954330223     0.1118174208851647        0.01075335119965514       
31438.65055399511         -63017.96047759254        1451.682320465982         -65839.50518024774        -0.00281494651059469      0.1117255646133444        0.01357759496338762       
31438.68180399511         -63026.35719331154        1753.143896783998         -65799.03624636887        -0.003405098668216379     0.1116336602990692        0.01640047772277648       
31438.71305399511         -63036.3494139083         2054.357148155648         -65750.94787016838        -0.003996810244062535     0.1115417281733766        0.01922185518231637       
31438.74430399511         -63047.94141656668        2355.322040523602         -65695.24431259424        -0.004590130607416438     0.1114497869145875        0.02204158249261888       
31438.77555399511         -63061.13761116478        2656.038589216668         -65631.9302264795         -0.005185108692523348     0.1113578536469576        0.02485951412208343       
31438.80680399511         -63075.9425391397         2956.506852691028         -65561.01065855862        -0.005781793009988165     0.1112659439401525        0.02767550372806936       
31438.83805399511         -63092.36087234181        3256.726930382832         -65482.49105183258        -0.006380231661219904     0.1111740718094764        0.03048940402749167       
31438.86930399511         -63110.39741196598        3556.698956451193         -65396.377248284          -0.006980472352003433     0.1110822497170278        0.03330106666675778       
31438.90055399511         -63130.05708749074        3856.423097636782         -65302.67549194451        -0.00758256240938422      0.1109904885737182        0.03611034209097295       
31438.93180399511         -63151.34495569017        4155.899547016144         -65201.39243231629        -0.008186548797965756     0.1108987977423495        0.03891707941233807       
31438.96305399511         -63174.26619967132        4455.128521876694         -65092.53512815022        -0.008792478139795343     0.1108071850416847        0.04172112627767444       
31438.99430399511         -63198.82612798292        4754.110257493607         -64976.11105158277        -0.009400396733959121     0.1107156567517401        0.04452232873500639       
31439.02555399511         -63225.03017377016        5052.845005032987         -64852.12809263454        -0.01001035058005227      0.1106242176202373        0.04732053109914652       
31439.05680399511         -63252.88389399899        5351.333025364261         -64720.59456407348        -0.01062238540166719      0.1105328708704607        0.05011557581622157       
31439.08805399511         -63282.39296874864        5649.574587005496         -64581.51920664481        -0.01123654667405676      0.1104416182104678        0.05290730332709654       
31439.11930399511         -63313.56320057478        5947.569959986111         -64434.91119467159        -0.01185287965213806      0.1103504598439276        0.05569555192964489       
31439.15055399511         -63346.40051396409        6245.31941385046          -64280.78014202855        -0.01247142940298503      0.1102593944825309        0.05848015763983608       
31439.18180399511         -63380.91095486277        6542.823211588227         -64119.1361084932         -0.01309224083899851      0.1101684193602826        0.0612609540516014        
31439.21305399511         -63417.10069032039        6840.081607714847         -63949.98960647598        -0.01371535875589426      0.1100775302496154        0.06403777219546472       
31439.24430399511         -63454.97600821298        7137.09484228971          -63773.35160813465        -0.01434082787172027      0.1099867214796698        0.06681044039591522       
31439.27555399511         -63494.54331710952        7433.863139094849         -63589.23355287526        -0.0149686928710369       0.1098959859566843        0.06957878412752634       
31439.30680399511         -63535.80914622193        7730.386699764175         -63397.64735524303        -0.01559899845049297      0.1098053151868617        0.07234262586981728       
31439.33805399511         -63578.78014552857        8026.665702085178         -63198.60541320702        -0.01623178936992486      0.1097146993016631        0.07510178496088217       
31439.36930399511         -63623.46308599044        8322.700294265664         -62992.12061684173        -0.01686711050523378      0.1096241270859348        0.07785607744980438       
31439.40055399511         -63669.86485997036        8618.490593386869         -62778.20635740845        -0.0175050069071602       0.1095335860088038        0.08060531594790643       
31439.43180399511         -63717.99248175635        8914.0366798381           -62556.87653684003        -0.01814552386223169      0.1094430622577977        0.08334930947887836       
31439.46305399511         -63767.85308832089        9209.338595953555         -62328.14557763179        -0.01878870695999679      0.1093525407761068        0.08608786332786154       
31439.49430399511         -63819.4539401966         9504.396340649186         -62092.02843314103        -0.01943460216283902      0.1092620053034971        0.08882077888956191       
31439.52555399511         -63872.80242262335        9799.209868279991         -61848.54059829783        -0.02008325588247508      0.1091714384207764        0.09154785351550057       
31439.55680399511         -63927.90604682695        10093.7790835182          -61597.69812072956        -0.0207347150594498       0.1090808215983626        0.0942688803605089        
31439.58805399511         -63984.77245160584        10388.10384047206         -61339.51761230038        -0.02138902724972118      0.108990135248853         0.09698364822861306       
31439.61930399511         -64043.40940506726        10682.18393784928         -61074.0162610679         -0.02204624071466364      0.1088993587841783        0.09969194141845295       
31439.65055399511         -64103.82480671043        10976.01911838381         -60801.21184365716        -0.02270640451856846      0.1088084706772352        0.1023935395684207        
31439.68180399511         -64166.0266896793         11269.60906433339         -60521.12273805357        -0.0233695686299851       0.1087174485286167        0.1050882175017071        
31439.71305399511         -64230.02322340335        11562.95339726591         -60233.76793681338        -0.02403578403096273      0.1086262691383297        0.1077757450714868        
31439.74430399511         -64295.82271642999        11856.05167394577         -59939.16706069229        -0.02470510283054825      0.1085349085831423        0.1104558870064776        
31439.77555399511         -64363.43361968891        12148.90338653712         -59637.34037268974        -0.02537757838657605      0.1084433422994549        0.1131284027571576        
