Khon1.x		Khon1.y		Khon1.z		Khon2.x		Khon2.y		Khon2.z		Khon3.x		Khon3.y		Khon3.z		Khon4.x		Khon4.y		Khon4.z		Khon5.x		Khon5.y		Khon5.z		Khon6.x		Khon6.y		Khon6.z
6926.483402	3340.375491	-2666.386913	2920.808074	372.667908	-19179.840063	-125.110422	15917.764870	-11108.749367	-6172.852706	492.711383	-4594.934396	-49676.817791	52197.841148	-18971.277826	68091.745747	1676.387174	-47862.709899
7133.904915	3897.425123	-3064.076521	3106.247362	356.005063	-19079.796671	-322.097092	15858.224406	-11062.694936	-6307.869973	522.832816	-5326.836979	-49677.979381	52186.849612	-18878.266221	68080.286763	1647.839023	-47865.674182
7303.611775	4433.879893	-3445.588537	3290.244385	339.155466	-18970.540389	-518.968330	15791.034433	-11011.294368	-6404.238988	549.767830	-6026.155659	-49679.388540	52175.302610	-18784.895902	68068.908100	1619.105513	-47868.261964
7440.964893	4950.678471	-3811.841435	3472.693121	322.124913	-18852.013994	-715.628177	15716.132994	-10954.506217	-6468.156729	573.932790	-6694.950374	-49681.044424	52163.197733	-18691.169221	68057.610087	1590.188130	-47870.472430
7550.237648	5448.761551	-4163.701092	3653.483880	304.919289	-18724.153752	-911.977925	15633.452289	-10892.285039	-6504.463931	595.662516	-7335.147483	-49682.946167	52150.532577	-18597.088531	68046.393049	1561.088364	-47872.304763
7634.892288	5929.031856	-4501.966697	3832.502900	287.544589	-18586.889193	-1107.915747	15542.918429	-10824.581225	-6517.011663	615.230269	-7948.508767	-49685.092886	52137.304746	-18502.656193	68035.257300	1531.807706	-47873.758151
7697.774267	6392.336485	-4827.368123	4009.631891	270.006944	-18440.142838	-1303.336292	15444.451146	-10751.340815	-6508.913230	632.862049	-8536.628615	-49687.483677	52123.511846	-18407.874572	68024.203148	1502.347652	-47874.831779
7741.251865	6839.460776	-5140.568600	4184.747549	252.312649	-18283.829905	-1498.130246	15337.963490	-10672.505292	-6482.721385	648.747008	-9100.943393	-49690.117620	52109.151492	-18312.746036	68013.230891	1472.709700	-47875.524836
7767.318479	7271.128080	-5442.169634	4357.721078	234.468189	-18117.858002	-1692.183852	15223.361475	-10588.011349	-6440.555675	663.045145	-9642.745421	-49692.993771	52094.221302	-18217.272959	68002.340822	1442.895351	-47875.836510
7777.668884	7688.002449	-5732.716661	4528.417593	216.480273	-17942.126756	-1885.378392	15100.543699	-10497.790638	-6384.195746	675.893096	-10163.198005	-49696.111172	52078.718902	-18121.457722	67991.533222	1412.906111	-47875.765992
7773.757025	8090.692644	-6012.704707	4696.695453	198.355866	-17756.527387	-2077.589606	14969.400917	-10401.769482	-6315.150894	687.408553	-10663.349907	-49699.468842	52062.641923	-18025.302707	67980.808368	1382.743488	-47875.312473
7756.840433	8479.756609	-6282.583708	4862.405639	180.102229	-17560.942298	-2268.687065	14829.815567	-10299.868563	-6234.712751	697.693675	-11144.148592	-49703.065782	52045.988002	-17928.810302	67970.166525	1352.408991	-47874.475146
7728.014823	8855.705964	-6542.763346	5025.390994	161.726957	-17355.244574	-2458.533461	14681.661249	-10192.002573	-6143.995751	706.837763	-11606.452028	-49706.900976	52028.754783	-17831.982901	67959.607952	1321.904136	-47873.253202
7688.241368	9219.010280	-6793.617384	5185.485265	143.238032	-17139.297397	-2646.983825	14524.802137	-10078.079825	-6043.968636	714.919374	-12051.039065	-49710.973386	52010.939916	-17734.822899	67949.132901	1291.230440	-47871.645837
7638.368435	9570.101041	-7035.487494	5342.512268	124.643870	-16912.953476	-2833.884661	14359.092344	-9958.001830	-5935.479256	722.008023	-12478.618491	-49715.281955	51992.541055	-17637.332701	67938.741613	1260.389422	-47869.652247
7579.149081	9909.375244	-7268.686638	5496.284815	105.953379	-16676.054370	-3019.072943	14184.375187	-9831.662808	-5819.274331	728.165544	-12889.836898	-49719.825609	51973.555865	-17539.514710	67928.434323	1229.382606	-47867.271628
7511.255272	10237.198652	-7493.502027	5646.603444	87.176028	-16428.429708	-3202.375044	14000.482407	-9698.949170	-5696.015327	733.447213	-13285.285525	-49724.603254	51953.982012	-17441.371339	67918.211257	1198.211517	-47864.503178
7435.289532	10553.908700	-7710.197729	5793.255153	68.321921	-16169.896387	-3383.605439	13807.233254	-9559.738910	-5566.291356	737.902663	-13665.506196	-49729.613777	51933.817174	-17342.905001	67908.072632	1166.877686	-47861.346096
7351.794564	10859.817093	-7919.016950	5936.011868	49.401881	-15900.257638	-3562.565339	13604.433511	-9413.900961	-5430.629718	741.576651	-14030.996487	-49734.856044	51913.059030	-17244.118117	67898.018660	1135.382643	-47857.799583
7261.261261	11155.212121	-8120.184042	6074.628691	30.427545	-15619.301992	-3739.041022	13391.874360	-9261.294437	-5289.504611	744.509684	-14382.214232	-49740.328906	51891.705271	-17145.013110	67888.049540	1103.727923	-47853.862840
7164.135409	11440.360723	-8313.906272	6208.841954	11.411483	-15326.802135	-3912.802012	13169.331140	-9101.767818	-5143.344365	746.738563	-14719.581456	-49746.031191	51869.753590	-17045.592408	67878.165467	1071.915064	-47849.535069
7060.823344	11715.510319	-8500.375378	6338.366957	-7.632681	-15022.513630	-4083.598948	12936.561939	-8935.158014	-4992.537486	748.296827	-15043.487820	-49751.961710	51847.201692	-16945.858444	67868.366626	1039.945608	-47844.815475
6951.696747	11980.890449	-8679.768946	6462.895375	-26.690112	-14706.173476	-4251.161062	12693.305987	-8761.289309	-4837.437763	749.215144	-15354.293649	-49758.119255	51824.047284	-16845.813652	67858.653193	1007.821096	-47839.703264
