Orbiter.MoonInertial.X    Orbiter.MoonInertial.Y    Orbiter.MoonInertial.Z    Orbiter.MoonInertial.VX   Orbiter.MoonInertial.VY   Orbiter.MoonInertial.VZ   Luna.MoonInertial.X       Luna.MoonInertial.Y       Luna.MoonInertial.Z       Earth.MoonInertial.X      Earth.MoonInertial.Y      Earth.MoonInertial.Z      Sun.MoonInertial.X        Sun.MoonInertial.Y        Sun.MoonInertial.Z        Orbiter.Propagator1_ForceModel.AccelerationX   Orbiter.Propagator1_ForceModel.AccelerationY   Orbiter.Propagator1_ForceModel.AccelerationZ   Orbiter.ElapsedSecs       
-1.600710675120354e-10    0                         -1780.977000000014        1.694474795330645         0                         -1.538214000618154e-13    0                         0                         0                         -73762.77341565912        327698.5502331607         178946.4833502472         63009426.41520916         126762592.4166373         54985913.83659755         4.810285928286665e-07                          -2.71706037079692e-08                          0.001545392647652668                           0                         
78.12605518267083         -0.0002383106620982289    -1779.334550975705        1.692882848370693         -1.06302154910809e-05     0.07120875548235379       0                         0                         0                         -73809.23622376559        327688.5114953232         178942.1925648282         63009379.95240106         126762582.3778994         54985909.54581213         -6.718587570708351e-05                         3.461353003725631e-07                          0.001543977041901047                           46.12091761082411         
156.5879481841985         -0.0009873504168353975    -1774.3705336079          1.688130482037336         -2.1900688745774e-05      0.1426886395738204        0                         0                         0                         -73855.9850698357         327678.4055842957         178937.8724542934         63008106.87735567         126763101.8071052         54986134.77873421         -0.0001355719665216633                         5.57771143766572e-07                           0.001539060488007555                           92.5269570783712          
231.0030742080271         -0.002283803478349        -1766.570032388292        1.680695998519961         -3.827356691465944e-05    0.2104381850382361        0                         0                         0                         -73900.48274791375        327668.7813126141         178933.7576650095         63006828.4670986          126763624.981274          54986361.63163282         -0.000199754361638555                          5.416940131199159e-07                          0.001531265079195229                           136.6994439857081         
303.4506176164432         -0.004398000659421086     -1756.046747711109        1.670691098538189         -5.93934013382591e-05     0.2763566863976495        0                         0                         0                         -73944.02850677818        327659.3582014806         178929.7283409575         63005610.39293564         126764122.7030901         54986577.44922644         -0.0002624047812566614                         5.070393280611647e-07                          0.001521579166202987                           179.928015335463          
380.4820481542556         -0.007518618076574057     -1741.630669027421        1.656997349883691         -7.278129591140048e-05    0.34639394655515          0                         0                         0                         -73990.65713626883        327649.2627857767         178925.4109478754         63004414.32967628         126764608.9064434         54986788.27695651         -0.0003293187702543025                         4.31188750018351e-07                           0.001507396275911128                           226.2181506841443         
459.920871670256          -0.01103865174809471      -1723.197011687269        1.639495709618773         -7.151636634042391e-05    0.4185340633368883        0                         0                         0                         -74039.19618241153        327638.7480551539         178920.9135815664         63003134.94494403         126765129.8297722         54987014.15757496         -0.0003974784716413211                         3.691051573863201e-07                          0.001488955493983857                           274.4060974800959         
537.5636885362037         -0.01433485647430643      -1701.57361389327         1.61898859604677          -6.75999860526022e-05     0.4889257446226078        0                         0                         0                         -74087.19018351975        327628.3456803737         178916.4636210083         63001805.63733104         126765672.6425456         54987249.52595781         -0.0004637587994102941                         3.986746311143119e-07                          0.001467641936674449                           322.0542095834389         
610.4725800664746         -0.01743604696821421      -1677.905573595635        1.596580571200016         -7.033737685938068e-05    0.5549062938114201        0                         0                         0                         -74132.8590034089         327618.441996803          178912.2263912353         63000493.00355512         126766209.7455728         54987482.41572624         -0.0005254045725444062                         3.803584058732233e-07                          0.001444674040117652                           367.395069252234          
681.5065357053682         -0.02075476123718545      -1651.584053247469        1.571699706132839         -7.839926289360255e-05    0.6190724399040309        0                         0                         0                         -74178.01654089805        327608.6441298233         178908.0338585062         62999242.22590035         126766720.4567491         54987703.86347993         -0.0005853888113307401                         2.893584571365482e-07                          0.001419625938238708                           412.2294421540573         
752.2445718015806         -0.0245763796265237       -1622.023204268975        1.543795571216812         -9.056858810305157e-05    0.6828420789546952        0                         0                         0                         -74223.74657494076        327598.7169202809         178903.7853963838         62998004.33843281         126767225.2144747         54987922.73056443         -0.0006449820695309161                         1.73489559842937e-07                           0.001391204949611274                           457.6333543751389         
822.7705295221094         -0.02909303933847696      -1589.047059393924        1.512710792278141         -0.0001052438174379833    0.7462724273196634        0                         0                         0                         -74270.21806692675        327588.6234664107         178899.4651869657         62996750.56037194         126767736.3342786         54988144.35593171         -0.0007036657621753507                         3.338563787726606e-08                          0.001359483897743299                           503.7746126647107         
892.2509069398802         -0.03428801923291758      -1552.932197372895        1.478722348316914         -0.0001176523336427204    0.8085952936908016        0                         0                         0                         -74316.99528359887        327578.4582279809         178895.1136405458         62995476.86519361         126768255.8365277         54988369.61487167         -0.0007609572684944197                         -2.803605913380042e-08                         0.001325160033118482                           550.2206209232099         
960.4324073228927         -0.03994342486839741      -1513.754982976097        1.441919273459087         -0.0001231593190514635    0.8695726495909413        0                         0                         0                         -74364.00941712003        327568.2360633286         178890.7371069732         62994194.82446835         126768778.7698529         54988596.36087829         -0.0008167850150587247                         -1.003916013509262e-09                         0.001288122586087958                           596.9030802603811         
1027.96465338803          -0.04573953471845016      -1471.024211515527        1.401855834555828         -0.0001196095878093772    0.9297719833484831        0                         0                         0                         -74411.83310639848        327557.8322816236         178886.2821800997         62992905.6815731          126769304.2253769         54988824.20060131         -0.0008715428132502361                         3.694469096673828e-08                          0.001247901195609165                           644.3906313506886         
1093.515388576998         -0.05123403243487701      -1425.494001840823        1.359256566946663         -0.0001118065990943218    0.9879929043898834        0                         0                         0                         -74459.64213233867        327547.4260467535         178881.8255624384         62991595.13999864         126769838.9092341         54989056.04018074         -0.000924128977749568                          1.425925561881049e-07                          0.001205344323185089                           691.8648803606629         
1155.399497253195         -0.05625637149205431      -1378.507180658838        1.315392590927259         -0.0001056667344780104    1.042741841411692         0                         0                         0                         -74506.23521704062        327537.2790474552         178877.4793503444         62990286.16264413         126770373.6888377         54989287.91930088         -0.0009731284223317698                         2.08668090785599e-07                           0.001161734818382853                           738.1329138879664         
1213.461584551682         -0.06090340443188325      -1330.535062605719        1.270709715330011         -0.0001016693664454282    1.093901779410725         0                         0                         0                         -74551.44674183249        327527.4277991786         178873.2592349801         62989010.63600834         126770894.908424          54989513.91805844         -0.00101859419143921                           1.546075104628626e-07                          0.001117534988216735                           783.0301696085371         
1268.672036017597         -0.06535715988138691      -1281.057989482884        1.224724374591294         -0.0001000579563288362    1.142340347007235         0                         0                         0                         -74595.99890934797        327517.7152825521         178869.0979906583         62987772.21420359         126771400.5229609         54989733.15077474         -0.001061317457704616                          1.439629254822607e-07                          0.001072032095223014                           827.2737541235983         
1321.876431685174         -0.06977480166824535      -1229.412426554976        1.176833055147986         -9.90894043473578e-05     1.188796649479349         0                         0                         0                         -74640.60952933537        327507.9851119837         178864.9286265549         62986551.11106121         126771898.6076106         54989949.11882942         -0.001101613021261218                          2.196929652836643e-07                          0.001024770881801059                           871.5764838620089         
1373.21242567079          -0.07410486490698531      -1175.435545516259        1.126903905898329         -9.447260377368205e-05    1.233389665237334         0                         0                         0                         -74685.48017015378        327498.193269589          178860.7322750562         62985328.17042281         126772397.3000419         54990165.35011097         -0.001139769755088341                          2.567265778625205e-07                          0.0009760289782474981                          916.1385485320352         
1423.079488882198         -0.0782144257100299       -1118.578463763988        1.074447209257507         -8.69208510373698e-05     1.27646203737142          0                         0                         0                         -74731.09288683637        327488.2343918643         178856.4637630544         62984097.5868669          126772898.7924661         54990382.79544369         -0.001176416015912227                          2.464509521704485e-07                          0.0009251031751230022                          961.438726214692          
1471.978628292316         -0.08213268854888156      -1057.955034447106        1.018671331483214         -8.158144578096493e-05    1.318432658258809         0                         0                         0                         -74778.13159560537        327477.9587869            178852.0588888548         62982845.94490176         126773408.4299406         54990603.77259678         -0.001211532641343044                          2.691002076321841e-07                          0.0008709930625308193                          1008.156330138445         
1519.558672395666         -0.08602288825204596      -993.5573751423508        0.9595966844732848        -8.090346832012596e-05    1.358981566380911         0                         0                         0                         -74826.55708248878        327467.3745303814         178847.5210588469         62981555.21937423         126773934.0163575         54990831.66445916         -0.001244703730927049                          3.158209613683034e-07                          0.0008142249819782464                          1056.252524640877         
