Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
-1022.343192504573        1385.473119792005         2069.557702396822         -3039.57188245446         -5148.192625922384        -7690.255446179101        3478.655038693876         -4898.21691271296         -7316.842956298467        1022.349499005562         -1385.486112524173        2069.603968951822         3039.577023157006         5148.168597315846         -7690.241842770047        -3478.649714692845        4898.193606405752         -7316.825035476824        
-1120.893045068195        1371.137471524416         2048.135775244504         -3016.815538074574        -5159.41631976451         -7707.016369593824        3500.054953820116         -4884.894774694578        -7296.937120033399        1120.90187892133          -1371.15305973182         2048.191076161078         3016.821763503787         5159.38722376863          -7706.999887602957        -3500.048513940259        4884.866597488872         -7296.915443378268        
-1218.446538172284        1355.583023784566         2024.892605596862         -2994.001611599655        -5170.5422138141          -7723.630734568782        3521.381769135813         -4871.470986058703        -7276.878925254743        1218.458441837938         -1355.601408040442        2024.957569926599         2994.009026417931         5170.507561789476         -7723.611093498563        -3521.374107612544        4871.437480742927         -7276.853137061669        
-1314.936813576351        1338.845711239206         1999.881899384694         -2971.130746990835        -5181.570459592505        -7740.098766325333        3542.634699170012         -4857.945357376593        -7256.668090086052        1314.952368593556         -1338.867077760573        1999.957100470841         2971.139456056582         5181.529761870624         -7740.075684532814        -3542.625710287219        4857.906067905365         -7256.637834943627        
-1410.302155213401        1320.963044270757         1973.159717877017         -2948.203583254392        -5192.501207070251        -7756.420687784295        3563.812951184067         -4844.317697477934        -7236.304330071085        1410.321975834813         -1320.987562412629        1973.245669562428         2948.2136916132           5192.453972958145         -7756.39388247137         -3563.802529263019        4844.272168973053         -7236.269252847822        
-1504.486052910288        1301.973821298569         1944.784047558293         -2925.220754518537        -5203.334604674019        -7772.596719576977        3584.915725054831         -4830.587813443446        -7215.787358162372        1504.510778549069         -1302.001641622162        1944.881201770098         2925.232367394579         5203.28034245898          -7772.565906780335        -3584.903764442672        4830.535592194356         -7215.747103993373        
-1597.43721095947         1281.917848959507         1914.814381727017         -2902.182890109179        -5214.070799294452        -7788.627080056001        3605.942213155853         -4816.755510596733        -7195.116884710005        1597.467498091195         -1281.949102115876        1914.923127742397         2902.196112896854         5214.009016248106         -7788.591974637209        -3605.928608213653        4816.696144061512         -7195.071098983637        
-1689.109506192661        1260.835673699155         1883.311319143599         -2879.090614624423        -5224.709936292842        -7804.511985306133        3626.891600236399         -4802.820592496952        -7174.292617450148        1689.146020384243         -1260.870470194495        1883.431984559575         2879.10555288021          5224.640138675924         -7804.472300941619        -3626.876245326741        4802.753629303013         -7174.240945794736        
-1779.461900888258        1238.768327700149         1850.336184122716         -2855.944548008061        -5235.252159508935        -7820.251649155078        3647.763063298305         -4788.782860930834        -7153.314261494059        1779.505309517335         -1238.80675846315         1850.46903732291          2855.961307442572         5235.173852575361         -7820.207098326093        -3647.745852772336        4788.707850875915         -7153.256349764357        
-1868.458316254153        1215.75709142437          1815.95067148711          -2832.745305621822        -5245.697611267678        -7835.846283184015        3668.555771470637         -4774.642115905648        -7132.1815193168          1868.509282297367         -1215.799228999822        1816.095925257745         2832.763992092063         5245.610299268912         -7835.796577166533        -3668.536599654777        4774.558609958331         -7132.117013580486        
-1956.067472382289        1191.843274408428         1780.216518842761         -2809.493498316675        -5256.046432386676        -7851.296096738311        3689.268885882077         -4760.398155640985        -7110.894090746297        1956.126649450904         -1191.889174564276        1780.374334738968         2809.514217818491         5255.949618575687         -7851.240945592988        -3689.247647064141        4760.305705941748         -7110.822637270379        
-2042.262700511186        1167.068015363242         1743.195207747602         -2786.189732502899        -5266.298762182996        -7866.601296937937        3709.901559531034         -4746.050776561839        -7089.451672952273        2042.330729141264         -1167.117718906084        1743.365700834314         2786.212591163727         5266.19194881845          -7866.540409499896        -3709.878147945827        4745.948936423869         -7089.372918189445        
-2127.021733207104        1141.47210210358          1704.947694558505         -2762.834610219303        -5276.454738480446        -7881.762088688032        3730.452937153299         -4731.599773290916        -7067.853960435488        2127.099238290961         -1141.525636734674        1705.130938216607         2762.859714291            5276.337426830723         -7881.695172556763        -3730.427246967825        4731.488097200985         -7067.767551010387        
-2210.326477731651        1115.095811385778         1665.534171066683         -2739.428729201303        -5286.514497616328        -7896.778674689092        3750.922155087377         -4717.044938641426        -7046.100645016908        2210.414066910671         -1115.153193477134        1665.730201639672         2739.456185053263         5286.386187963304         -7896.705436218181        -3750.894080385406        4716.922982260643         -7046.006227712322        
