Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
-509.5525782699551        6153.554633616004         5163.437255540077         -3603.157173461252        -8448.165132146212        -7088.842933024047        4237.402316551597         -8191.475073935173        -6873.453223446297        6153.530950048211         509.534653102688          -5163.429525059619        -8409.082356782354        3583.900331521523         7056.068049543654         -8218.109220062572        -4249.355563719932        6895.813804400823         
-560.442025860888         6151.368000085175         5161.600733969768         -3570.243238379451        -8458.343340606021        -7097.3815018858          4269.435669906074         -8179.283989075338        -6863.22148903014         6151.339317215301         560.4203933715471         -5161.591339807608        -8419.271832141458        3550.912899502902         7064.620151565585         -8205.934778232971        -4281.337898269296        6885.598509642616         
-611.3126166267029        6148.973582844599         5159.589696833689         -3537.288748805018        -8468.426449686929        -7105.840084288007        4301.41952174333          -8166.998474304739        -6852.910310010135        6148.939417087051         611.2869401897769         -5159.578468776017        -8429.364754047405        3517.885249439045         7073.091433336638         -8193.665793384644        -4313.270832589944        6875.303905278648         
-662.1626323783275        6146.371508718352         5157.404250475403         -3504.29410256393         -8478.41440660716         -7114.218635655678        4333.353461441031         -8154.618598663772        -6842.519744508172        6146.33137514221          662.1325782981585         -5157.391016156907        -8439.36106754397         3484.817784512707         7081.481848047493         -8181.302333760192        -4345.153962750454        6864.93004774244          
-712.9903567890724        6143.561915418017         5155.044510385225         -3471.259697215064        -8488.30715918605         -7122.517111922003        4365.237078047357         -8142.144431875611        -6832.049851223797        6143.515327734334         712.9555943115265         -5155.029095263366        -8449.260718294041        3451.710907616129         7089.791349404462         -8168.844468269046        -4376.986884488084        6854.4769940275           
-763.7940755485615        6140.544951521792         5152.510601182934         -3438.185930052481        -8498.104655841482        -7130.735469526466        4397.069960279056         -8129.576044349291        -6821.500689436449        6140.491422070729         763.7542768711573         -5152.492828511837        -8459.063652576922        3418.565021353657         7098.019891627366         -8156.292266490622        -4408.769193206215        6843.944801690202         
-814.572076516255         6137.320776452194         5149.802656598913         -3405.07319810777         -8507.806845587387        -7138.873665412859        4428.851696519312         -8116.913507183024        -6810.872319008457        6137.259816189733         814.5269167969818         -5149.78234740335         -8468.769817285793        3385.380528044072         7106.167429447232         -8143.645798677564        -4440.500483972079        6833.333528852236         
-865.3226498743606        6133.889560451848         5146.920819453895         -3371.921898152388        -8517.413678031822        -7146.931657027337        4460.581874815864         -8104.156892167404        -6800.164800387574        6133.820678936449         865.2718072394491         -5146.897792502947        -8478.37915992504         3352.157829723204         7114.23391810435          -8130.905135758978        -4472.18035151466         6822.643234203599         
-916.0440882802941        6130.251484558103         5143.865241637541         -3338.732426699964        -8526.925103374408        -7154.909402316553        4492.260082878856         -8091.306271788664        -6789.378194609861        6130.174189936821         915.9872438300517         -5143.839313418226        -8487.891628607744        3318.897328146093         7122.219313345879         -8118.070349343703        -4503.808390222257        6811.87397700522          
-966.7346870184847        6126.406740575447         5140.636084085476         -3305.505180008695        -8536.34107240435         -7162.806859725737        4523.88590807897          -8078.36171923182         -6778.512563302269        6126.320539570224         966.671524832258          -5140.607068776269        -8497.307172053101        3285.59942478966          7130.123571423988         -8105.141511723661        -4535.384194140439        6801.02581709181          
-1017.392744151613        6122.355531046982         5137.233516755106         -3272.240554083604        -8545.661536497937        -7170.623988196894        4555.458937445379         -8065.323308384162        -6767.567968685529        6122.259928940286         1017.322951290989         -5137.201226199453        -8506.62573958392         3252.264520855271         7137.946649093617         -8092.118695877129        -4566.907356969663        6790.098814874596         
-1068.016560671182        6118.098069223517         5133.657718599919         -3238.938944679016        -8554.886447616504        -7178.360747166909        4586.978757663834         -8052.191113838635        -6756.544473576942        6117.992569844384         1067.939827181865         -5133.621962279605        -8515.847281124152        3218.893017271126         7145.688503610465         -8079.001975472187        -4598.377472063119        6779.093031344324         
-1118.604440647337        6113.634579031786         5129.908877542621         -3205.600747300792        -8564.015758304391        -7186.017096565774        4618.444955074636         -8038.965210896858        -6745.442141393229        6113.518684741357         1118.520459559746         -5129.869462551229        -8524.971747196396        3185.485314694524         7153.349092728953         -8065.79142487004         -4629.794132424635        6768.008528074017         
-1169.154691378106        6108.965295040747         5125.987190446933         -3172.226357208827        -8573.049421686446        -7193.592996814841        4649.85711567082          -8025.645675572974        -6734.261036153388        6108.838506717831         1169.063158706471         -5125.943921463302        -8533.999088919518        3152.041813514952         7160.928374700161         -8052.487119128535        -4661.156930706231        6756.84536722186          
-1219.665623537716        6104.090462426189         5121.892863087909         -3138.816169419311        -8581.987391466391        -7201.088408824871        4681.214825096118         -8012.232584596844        -6723.001222481515        6103.952279452918         1219.566238277534         -5121.845542349649        -8542.929258006217        3118.562913856062         7168.426308269933         -8039.089134005582        -4692.465459206374        6745.603611534258         
