Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   
0                         1455.580855693494         2174.320722924429         -4186.495999999999        0                         0                         0                         -1455.580855693494        2174.320722924429         4186.495999999999         0                         0                         
-103.8716202882933        1454.864037846972         2173.249570790824         -4224.953773628818        -36.1190350787947         -53.95399881657795        103.8715734672005         -1454.86417249043         2173.25006795401          4224.953764687205         36.11902733653551         -53.95403384085512        
-207.6411110925983        1452.715560026583         2170.039066499477         -4262.422975140638        -72.22960222914116        -107.8954019488301        207.6409814138315         -1452.716101132915        2170.041049889231         4262.422940406832         72.22956841031555         -107.8955395711237        
-311.2068802364229        1449.141328137717         2164.698035164562         -4298.921910698569        -108.3237133968505        -161.8122722703556        311.2067136893311         -1449.142546903051        2164.702477466606         4298.921834934314         108.3236309756176         -161.8125764654542        
-414.468614321202         1444.151111920364         2157.241075974453         -4334.468585847091        -144.3938179545803        -215.6933261723025        414.4685315524985         -1444.153274537937        2157.248924594256         4334.468455495866         144.3936603188049         -215.6938574606029        
-517.3278871228977        1437.758436422737         2147.688400143845         -4369.080698449819        -180.4327803856577        -269.5279002231255        517.3280755460582         -1437.761801706336        2147.700571378169         4369.080501689386         180.4325169360964         -269.5287158071587        
-619.6887345196301        1429.980434874131         2136.065611242928         -4402.775633290454        -216.4338590002153        -323.3059193704685        619.6894413574628         -1429.985253589577        2136.082987004513         4402.775360070678         216.4334552440559         -323.3070732636843        
-721.4581874506839        1420.837666791049         2122.403433585074         -4435.570458156886        -252.3906856549438        -377.0178666426218        721.4597146004817         -1420.844182030763        2122.426859669853         4435.570100225057         252.39010329335           -377.0194097901694        
-822.5467558919772        1410.353905682452         2106.737395163014         -4467.481921244631        -288.2972464456107        -430.6547543028137        822.5494567618152         -1410.36235348304         2106.767679903918         4467.481472159707         288.2964434557944         -430.6567346945812        
-922.8688583122857        1398.555901075481         2089.107472160336         -4498.5264497303          -324.147863338294         -484.20809640683          922.8731361045939         -1398.566510577803        2089.145384513919         4498.525904867973         324.1467940504081         -484.2105591830914        
-1022.343192504573        1385.473119792005         2069.557702396822         -4528.72014938014         -359.9371767066768        -537.6698827133805        1022.349499005562         -1385.486112524173        2069.603968951822         4528.719505929927         359.9357918757014         -537.6728702631081        
-1120.893045068195        1371.137471524416         2048.135775244504         -4558.078805070982        -395.6601287391968        -591.0325538945326        1120.90187892133          -1371.15305973182         2048.191076161078         4558.078062026412         395.6583756119944         -591.0361059469578        
-1218.446538172284        1355.583023784566         2024.892605596862         -4586.617882112507        -431.3119476814172        -644.2889779942052        1218.458441837938         -1355.601408040442        2024.957569926599         4586.617040255776         431.309770059539          -644.2931317037146        
-1314.936813576351        1338.845711239206         1999.881899384694         -4614.352528270945        -466.888132878812         -697.4324280817236        1314.952368593556         -1338.867077760573        1999.957100470841         4614.351590152684         466.8854711770546         -697.4372181064391        
-1410.302155213401        1320.963044270757         1973.159717877017         -4641.297576403551        -502.38444058405          -750.4565610484569        1410.321975834813         -1320.987562412629        1973.245669562428         4641.296546318597         502.3812318851706         -750.4620196232281        
-1504.486052910288        1301.973821298569         1944.784047558293         -4667.467547622393        -537.7968704954255        -803.355397496256         1504.510778549069         -1302.001641622162        1944.881201770098         4667.466431582288         537.7930486013647         -803.3615544998029        
-1597.43721095947         1281.917848959507         1914.814381727017         -4692.876654914202        -573.1216529922676        -856.1233026670816        1597.467498091195         -1281.949102115876        1914.923127742397         4692.875460617026         573.1171484717051         -856.1301856841601        
-1689.109506192661        1260.835673699155         1883.311319143599         -4717.538807150413        -608.3552370341495        -908.7549683649559        1689.146020384243         -1260.870470194495        1883.431984559575         4717.537543948376         608.3499772673822         -908.7626027435181        
-1779.461900888258        1238.768327700149         1850.336184122716         -4741.467613428176        -643.4942786925822        -961.2453958223341        1779.505309517335         -1238.80675846315         1850.46903732291          4741.466292293509         643.488187913259          -961.253804726206         
