Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   
-2679.066436214664        942.6097082109773         1407.794097288221         -2597.946563335659        -5344.841051313851        -7983.83272902781         3871.952159671899         -4627.505172597885        -6912.267908413283        
-2751.983981817204        911.8306719101965         1361.80241003196          -2574.201706888445        -5354.2309860643          -7997.845369969698        3891.821363365001         -4612.217520471429        -6889.416452057747        
-2823.423439185673        880.5619538391475         1315.079120679962         -2550.410726267277        -5363.525740948913        -8011.715347558376        3911.601177993827         -4596.824312701239        -6866.406828497129        
-2893.393335579429        848.8349739865516         1267.671180206584         -2526.574183390825        -5372.725439233531        -8025.442845108191        3931.290657818114         -4581.325325497077        -6843.23870497098         
-2961.90401245137         816.6799632549519         1219.623762370815         -2502.692636503751        -5381.830202764191        -8039.028043828032        3950.888847206908         -4565.720333191275        -6819.911745940393        
-3028.967430580626        784.125962494174          1170.980262327968         -2478.766640234971        -5390.840151973476        -8052.471122830641        3970.394780473289         -4550.009108233091        -6796.425613079366        
-3094.596986922465        751.2008288647048         1121.782306190842         -2454.796745654923        -5399.755405886855        -8065.772259141871        3989.807481705793         -4534.191421182535        -6772.779965266265        
-3158.807343317836        717.9312484895345         1072.069769981666         -2430.783500332327        -5408.576082128799        -8078.931627710146        4009.125964596649         -4518.267040704959        -6748.974458575831        
-3221.614267026278        684.3427544314764         1021.880806537374         -2406.727448389953        -5417.302296928829        -8091.94940141539         4028.349232266672         -4502.235733565583        -6725.008746271254        
-3283.034482900825        650.4597491182503         971.2518790563045         -2382.629130559726        -5425.934165127925        -8104.82575107817         4047.476277086695         -4486.097264624143        -6700.882478796819        
-3343.085536906045        616.3055304197478         920.2178000977146         -2358.489084237168        -5434.471800184227        -8117.560845468717        4066.506080495499         -4469.851396830229        -6676.59530377062         
-3401.785670590136        581.9023206633283         868.8117749678495         -2334.307843534945        -5442.915314179205        -8130.154851315659        4085.437612814203         -4453.497891218227        -6652.146865977964        
-3459.153706053243        547.2712979524513         817.0654485434934         -2310.085939335928        -5451.264817823423        -8142.607933314925        4104.269833056969         -4437.036506903009        -6627.536807364959        
-3515.208940905897        512.4326292264741         765.0089546949603         -2285.823899345385        -5459.520420462475        -8154.920254138327        4123.001688737844         -4420.467001075682        -6602.764767032495        
-3569.971052678869        477.4055045705172         712.670967573591          -2261.522248142574        -5467.68223008269         -8167.091974442272        4141.632115673929         -4403.789128999866        -6577.830381230946        
-3623.46001212782         442.2081723478623         660.078754125454          -2237.181507231726        -5475.750353316776        -8179.123252876045        4160.16003778443          -4387.002644007734        -6552.733283354901        
-3675.696004869227        406.8579747856129         607.2582272806903         -2212.802195092227        -5483.724895449646        -8191.014246090461        4178.5843668858           -4370.107297497103        -6527.473103938828        
-3726.699360786282        371.3713836990646         554.2339993478381         -2188.384827228365        -5491.605960423767        -8202.765108745923        4196.904002482639         -4353.102838928346        -6502.049470653001        
-3776.490490653232        335.7640360875521         501.0294352140336         -2163.929916218272        -5499.393650844868        -8214.375993520807        4215.117831554366         -4335.989015821775        -6476.462008300005        
-3825.08982944228         300.0507693778491         447.6667050174437         -2139.437971762381        -5507.088067987177        -8225.847051119461        4233.224728337635         -4318.765573755605        -6450.710338811943        
-3872.517785796546        264.2456561296713         394.1668360146286         -2114.909500731257        -5514.689311799069        -8237.17843028027         4251.223554104217         -4301.432256364089        -6424.79408124811         
-3918.794697175341        228.362038052117          340.5497634163185         -2090.34500721276         -5522.197480908071        -8248.370277783542        4269.11315693424          -4283.988805336179        -6398.712851793418        
-3963.940790203313        192.4125592083437         286.8343800102302         -2065.744992558801        -5529.612672626332        -8259.42273845934         4286.892371484966         -4266.434960414656        -6372.466263757407        
-4007.976145780485        156.4091983136605         233.0385844272678         -2041.109955431355        -5536.934982955747        -8270.335955195187        4304.560018754579         -4248.770459395775        -6346.053927574132        
-4050.920668537743        120.3633000528207         179.179327942169          -2016.440391848068        -5544.164506593021        -8281.11006894373         4322.114905841096         -4230.995038129098        -6319.475450802565        
-4092.79406024862         84.28560536337318         125.2726597278961         -1991.736795227262        -5551.30133693479         -8291.745218730211        4339.555825696356         -4213.108430518419        -6292.730438128056        
