Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   Orbiter7.MoonInertial.X   Orbiter7.MoonInertial.Y   Orbiter7.MoonInertial.Z   Orbiter8.MoonInertial.X   Orbiter8.MoonInertial.Y   Orbiter8.MoonInertial.Z   
-1022.343192504573        1385.473119792005         2069.557702396822         -4528.72014938014         -359.9371767066768        -537.6698827133805        259.6613632520312         -5817.86371624493         -8690.592972736573        3226.108845470008         681.8308316186303         1018.505946499354         2853.401264159329         -867.0543860487523        1295.175065471849         5060.893993851743         3109.235718492419         -4644.524729404191        -5198.981552199286        2598.315392367542         -3881.307471005101        -1162.4909010712          -1364.66366994183         2038.508343780704         
-1120.893045068195        1371.137471524416         2048.135775244504         -4558.078805070982        -395.6601287391968        -591.0325538945326        285.612795094843          -5816.927066011121        -8689.187919255754        3163.393786050146         715.4460021922132         1068.719335942267         2922.755919322866         -835.1378913065419        1247.495703825            5051.616218664247         3133.414844785177         -4680.643876866408        -5203.280450669583        2571.378825305554         -3841.068070594891        -1064.358604261695        -1379.524411956081        2060.706504097092         
-1218.446538172284        1355.583023784566         2024.892605596862         -4586.617882112507        -431.3119476814172        -644.2889779942052        311.5599481763347         -5815.901165807387        -8687.648982886807        3099.276578383782         748.7439846113557         1118.458823208581         2990.656460693121         -802.8058195157791        1199.19531208626          5042.132466788986         3157.466165433114         -4716.572183315293        -5207.306825187654        2544.307664918713         -3800.627424708509        -965.2711483379535        -1393.146587791387        2081.054428111849         
-1314.936813576351        1338.845711239206         1999.881899384694         -4614.352528270945        -466.888132878812         -697.4324280817236        337.502420371573          -5814.786003149056        -8685.976144914079        3033.741385940491         781.6993304310017         1167.686381696665         3057.115465320021         -770.0867106691003        1150.31653073465          5032.445223839983         3181.390014400473         -4752.310147006996        -5211.057004427188        2517.101638329914         -3759.985126095649        -865.3031825942744        -1405.497359361558        2099.503059052979         
-1410.302155213401        1320.963044270757         1973.159717877017         -4641.297576403551        -502.38444058405          -750.4565610484569        363.4398092271294         -5813.581564439577        -8684.169384977053        2966.773466793587         814.2854398824275         1216.362264456344         3122.146873693535         -737.0079261031351        1100.900239466777         5022.556936341163         3205.186725910928         -4787.858266580122        -5214.527249971201        2489.760478895507         -3719.140776839718        -764.5340538100572        -1416.54621032445         2116.006808418315         
-1504.486052910288        1301.973821298569         1944.784047558293         -4667.467547622393        -537.7968704954255        -803.355397496256         389.3717119337816         -5812.287834969407        -8682.228681069217        2898.359332193024         846.4745435592486         1264.444976824045         3185.765823451366         -703.5956634503673        1050.985579497064         5012.470012553022         3228.856634320808         -4823.21704086673         -5217.713754706463        2462.283926640288         -3678.093989008456        -663.0475241040986        -1426.265226441144        2130.523974467709         
-1597.43721095947         1281.917848959507         1914.814381727017         -4692.876654914202        -573.1216529922676        -856.1233026670816        415.2977252990822         -5810.904798915319        -8680.154009536956        2828.486916945301         878.2376893596957         1311.891256911535         3247.988494837075         -669.8749765385292        1000.609983255417         5002.186823278753         3252.400073999015         -4858.38696871241         -5220.612641173182        2434.671728714893         -3636.844385337405        -560.9314257407823        -1434.629362467094        2143.017140604061         
-1689.109506192661        1260.835673699155         1883.311319143599         -4717.538807150413        -608.3552370341495        -908.7549683649559        441.2174457199289         -5809.43243933958         -8677.945345078304        2757.145761649386         909.5447356401128         1358.656065375224         3308.831967675025         -635.869799394859         949.8092102225346         4991.709702650027         3275.817379212298         -4893.368548805622        -5223.219959868744        2406.923639875662         -3595.39159994779         -458.277254994784         -1441.616690148774        2153.453545572644         
-1779.461900888258        1238.768327700149         1850.336184122716         -4741.467613428176        -643.4942786925822        -961.2453958223341        467.1304691550467         -5807.870738189085        -8675.60266074157         2684.327206661997         940.3643516186276         1404.692586016055         3368.314089523585         -601.602973595378         898.6173877669207         4981.040948893293         3299.108884016576         -4928.162279515236        -5225.531687503812        2379.039422989241         -3553.735279100714        -355.1797088749154        -1447.208622004313        2161.805417558324         
-1868.458316254153        1215.75709142437          1815.95067148711          -4764.676387689455        -678.5356302838773        -1013.589879464533        493.0363910973829         -5806.219676294422        -8673.125927924091        2610.024597455122         970.6640261428547         1449.95223887451          3426.453354587458         -567.0962782790884        847.0670559680148         4970.182825076918         3322.274922153563         -4962.768658736371        -5227.543725209733        2351.018849562621         -3511.875081989449        -251.7361701935879        -1451.390105865255        2168.050264696445         
-1956.067472382289        1191.843274408428         1780.216518842761         -4787.178153570872        -713.4763300730265        -1065.783991528064        518.9348065464728         -5804.479233368591        -8670.515116370516        2534.233500780174         1000.410086006857         1494.384707589023         3483.268792910778         -532.370462224877         795.1892155231035         4959.137559839946         3345.315826952923         -4997.188183743798        -5229.251896695612        2322.861700299545         -3469.810681571777        -148.0461480747908        -1454.149785651942        2172.171115239849         
-2042.262700511186        1167.068015363242         1743.195207747602         -4808.985649441907        -748.3135925206007        -1117.823567489337        544.8253099806025         -5802.649388006248        -8667.770194171346        2456.951930764582         1029.567725057423         1537.937982870615         3538.77986933112          -497.4452774591045        743.0133779454336         4947.907348102744         3368.231931238726         -5031.421351052995        -5230.651946353566        2294.567765685963         -3427.541765444766        -44.21068243701302        -1455.48012454022         2174.156701637112         
-2127.021733207104        1141.47210210358          1704.947694558505         -4830.111333593712        -783.044799044379         -1169.704692262632        570.7074953290285         -5800.730117682426        -8664.89112776125         2378.180583737441         1058.101045371848         1580.558424007555         3593.006391648552         -462.3395139306085        690.5676173587563         4936.494351760281         3391.023567241151         -5065.468656288082        -5231.739537310816        2266.136846604408         -3385.068036763463        59.66827782102337         -1455.377487535763        2174.00158404684          
-2210.326477731651        1115.095811385778         1665.534171066683         -4850.567389545147        -817.6674892692245        -1221.423687128205        596.5809559440386         -5798.72139875131         -8661.877881917258        2297.92308021053          1085.973111805622         1622.190840340831         3645.968427450774         -427.0710348509601        637.8786232878338         4924.900700358383         3413.691066512605         -5099.330594056402        -5232.510249426792        2237.568754979991         -3342.389215206815        163.4885123500426         -1453.842181459826        2171.706210277538         
-2292.162777442936        1087.978768354107         1625.013854468707         -4870.365731436046        -852.1793527405243        -1272.977097351803        622.4452845728083         -5796.6232064449          -8658.730419756932        2216.186212032553         1113.146021199238         1662.778594636125         3697.686229032115         -391.6568123538746        584.971753928141          4913.128491753509         3436.234759848041         -5133.007657829818        -5232.959577233982        2208.863314459391         -3299.505037992436        267.1481715364353         -1450.878451403813        2167.276910712972         
-2372.520165610913        1060.159824993811         1583.444805763662         -4889.518009481282        -886.5782210761681        -1324.36168046025         648.3000733293738         -5794.435514871904        -8655.448702736438        2132.980192291507         1139.580987487454         1702.263730212639         3748.180165849917         -356.1129631794756        531.8710894539254         4901.179792756418         3458.654977209342         -5166.500339831837        -5233.082927820666        2180.020361124072         -3256.415260943118        370.5464121781115         -1446.494433776941        2160.725828377152         
-2451.391615536981        1031.67695674469          1540.88377530771          -4908.035615462519        -920.8620605344768        -1375.574395138014        674.144913666285          -5792.158297016111        -8652.032690648484        2048.318905069857         1165.238443868875         1740.587123560894         3797.470663973669         -320.4547841346939        478.5994849931449         4889.056639760369         3480.952047653846         -5199.809130930866        -5232.875618653925        2151.039744240406         -3213.119659608026        473.5840157114581         -1440.702067111153        2152.070785858523         
-2528.773290372235        1002.567176250101         1497.386073985894         -4925.929688236705        -955.028964975616         -1426.612390712224        699.9793963462871         -5789.791524735163        -8648.48234162014         1962.220151670117         1190.078163059603         1777.68866398331          3845.578151999434         -284.6967871224042        425.1786229592108         4876.761039354082         3503.126299266471         -5232.934520538809        -5232.332875341395        2121.92132704769          -3169.618030441052        576.163978596087          -1433.51696278766         2141.335092320107         
-2604.664295541865        972.8664630831918         1453.005468267686         -4943.211119243555        -989.0771491965279        -1477.472997194505        725.8031114137557         -5787.335168758815        -8644.797612110735        1874.705889437595         1214.05939646624          1813.507461511239         3892.523012922989         -248.8527335678809        371.6290644830442         4864.294968919916         3525.178059095284         -5265.876996515261        -5231.449829329838        2092.664987587021         -3125.910192039679        678.19206533338           -1424.958238781313        2128.547295232507         
-2679.066436214664        942.6097082109773         1407.794097288221         -4959.890557995852        -1023.004942617845        -1528.153715850349        751.6156481661601         -5784.789198687649        -8640.978456909565        1785.802458829683         1237.141032868298         1847.982083985204         3938.325541488608         -212.9356681035715        317.9702997382847         4851.660377217893         3547.107653090963         -5298.637045076583        -5230.221515538899        2063.270619572722         -3081.995986447524        779.5773157797812         -1415.048320344125        2113.740882711456         
-2751.983981817204        911.8306719101965         1361.80241003196          -4975.978417538921        -1056.810783305555        -1578.652210267057        777.4165951252362         -5782.153582991043        -8637.024829133326        1695.540793938519         1259.281776890566         1881.05082372413          3983.005906555947         -176.9579514013603        264.2207969931187         4838.859184955611         3568.915406048938         -5331.215150710021        -5228.642869928284        2033.73813330807          -3037.875280523731        880.2324998715339         -1403.812712221057        2096.953943345812         
-2823.423439185673        880.5619538391475         1315.079120679962         -4991.484879867101        -1090.493212308211        -1628.96629789428         803.2055400081299         -5779.428289005999        -8632.936680223851        1603.95661128842          1280.440347172553         1912.651993652893         4026.584118053433         -140.931292066176         210.3980502602353         4825.893285344675         3590.601641554851         -5363.611796092358        -5226.70872699644         2004.067456648918         -2993.547967383289        980.074514516542          -1391.279747465451        2078.228791110363         
-2893.393335579429        848.8349739865516         1267.671180206584         -5006.419901286907        -1124.050868293503        -1679.093942030828        828.9820696983807         -5776.613282934937        -8628.713959945366        1511.09057142926          1300.57569370803          1942.724252106767         4069.079998113928         -104.8667775252834        156.5186254471191         4812.764544644087         3612.16668193345          -5395.827462013025        -5224.413817209177        1974.258536016918         -2949.01396791148         1079.02471912466          -1377.480318191694        2057.611563345097         
-2961.90401245137         816.6799632549519         1219.623762370815         -5020.793217717801        -1157.482482467312        -1729.033244234335        854.7457702167158         -5773.708529844065        -8624.356616381963        1416.988407659097         1319.647233333148         1971.206954794732         4110.513156014553         -68.77490386686986        102.5982049366285         4799.474802690573         3633.610848199402         -5427.86262730154         -5221.752764355988        1944.311337465071         -2904.273232357053        1177.009207940937         -1362.447593671503        2035.15179986789          
