ELFO.MoonMJ2000Eq.X       ELFO.MoonMJ2000Eq.Y       ELFO.MoonMJ2000Eq.Z       
-968.2101317530032        -5766.731505385571        -8610.49860025268         
-942.5961836934439        -5770.002686146283        -8615.364025546252        
-916.9676835355349        -5773.183509739465        -8620.094482715076        
-891.3250447742175        -5776.274014096532        -8624.690029141284        
-865.66867993091          -5779.274236000958        -8629.150720494408        
-839.9990005833097        -5782.184211090338        -8633.476610734357        
-814.3164173954283        -5785.003973858242        -8637.667752114297        
-788.6213401469286        -5787.733557656175        -8641.72419518344         
-762.9141777627519        -5790.372994695237        -8645.645988789731        
-737.1953383425134        -5792.922316048018        -8649.433180082458        
-711.4652291895472        -5795.381551650149        -8653.085814514761        
-685.7242568400106        -5797.75073030201         -8656.603935846046        
-659.9728270916967        -5800.029879670212        -8659.987586144309        
-634.2113450330216        -5802.219026289124        -8663.236805788372        
-608.4402150714304        -5804.3181955623          -8666.351633470029        
-582.6598409620347        -5806.32741176385         -8669.332106196078        
-556.8706258361344        -5808.246698039744        -8672.178259290302        
-531.0729722292745        -5810.076076409037        -8674.890126395314        
-505.2672821097658        -5811.815567765108        -8677.467739474348        
-479.4539569065091        -5813.465191876719        -8679.911128812924        
-453.6333975371672        -5815.024967389123        -8682.22032302046         
-427.8060044360464        -5816.494911825008        -8684.395349031749        
-401.9721775820362        -5817.875041585532        -8686.436232108386        
-376.1323165261419        -5819.165371951109        -8688.342995840085        
-350.2868204194237        -5820.365917082265        -8690.115662145889        
-324.4360880405293        -5821.476690020412        -8691.754251275328        
-298.5805178232258        -5822.497702688488        -8693.258781809443        
-272.720507883816         -5823.428965891668        -8694.62927066175         
-246.8564560489031        -5824.27048931786         -8695.865733079094        
-220.9887598823989        -5825.022281538259        -8696.968182642444        
-195.1178167131147        -5825.684350007796        -8697.936631267548        
-169.2440236620605        -5826.256701065548        -8698.771089205533        
-143.3677776696277        -5826.739339935011        -8699.471565043401        
-117.489475522947         -5827.132270724425        -8700.038065704448        
-91.60951388295507        -5827.435496426959        -8700.470596448569        
-65.72828931180993        -5827.649018920827        -8700.769160872498        
-39.84619830001611        -5827.772838969482        -8700.933760909929        
-13.96363729337463        -5827.806956221481        -8700.96439683157         
11.91899727942655         -5827.7513692106          -8700.8610672451          
37.80130898003699         -5827.606075355638        -8700.623769095031        
63.68290133302798         -5827.371070960333        -8700.252497662479        
89.56337779876776         -5827.046351213066        -8699.74724656485         
115.4423417463549         -5826.631910186668        -8699.108007755425        
141.3193964261445         -5826.127740837997        -8698.334771522872        
167.1941449427977         -5825.533835007605        -8697.427526490645        
193.0661902277498         -5824.850183419228        -8696.386259616302        
218.9351350121433         -5824.076775679321        -8695.210956190742        
244.8005817994708         -5823.213600276416        -8693.901599837332        
270.662132837926          -5822.260644580485        -8692.458172510966        
296.5193900934537         -5821.217894842266        -8690.880654497001        
322.3719552218099         -5820.085336192482        -8689.169024410126        
348.219429541321          -5818.862952641008        -8687.323259193143        
374.061414005293          -5817.550727075984        -8685.343334115631        
399.8975091742468         -5816.148641262829        -8683.229222772541        
425.7273151882109         -5814.656675843304        -8680.980897082703        
451.550431739015          -5813.074810334394        -8678.598327287207        
477.3664580422919         -5811.403023127132        -8676.081481947729        
503.1749928096542         -5809.641291485474        -8673.430327944759        
528.9756342205219         -5807.789591545006        -8670.644830475723        
554.767979894008          -5805.847898311622        -8667.724953053003        
580.551626860688          -5803.816185660136        -8664.670657501896        
606.3261715342524         -5801.694426332833        -8661.481903958473        
632.0912096830434         -5799.482591937995        -8658.158650867317        
657.8463364013005         -5797.180652948286        -8654.700854979194        
683.5911460808711         -5794.788578699154        -8651.108471348634        
709.3252323819324         -5792.306337387112        -8647.381453331402        
735.0481882042368         -5789.733896067992        -8643.519752581884        
760.759605658066          -5787.07122065514         -8639.52331905038         
786.4590760349529         -5784.318275917467        -8635.392100980302        
812.1461897781701         -5781.47502547763         -8631.126044905275        
837.8205364533351         -5778.541431809848        -8626.725095646156        
863.4817047187244         -5775.517456238027        -8622.189196307931        
889.1292822952382         -5772.403058933429        -8617.51828827656         
914.7628559365985         -5769.198198912636        -8612.712311215691        
940.3820113989059         -5765.902834035165        -8607.771203063283        
965.9863334104884         -5762.516921001239        -8602.694900028167        
991.5754056411679         -5759.040415349315        -8597.483336586458        
1017.148810671468         -5755.473271453695        -8592.136445477929        
1042.706129961822         -5751.815442521955        -8586.65415770224         
1068.246943821199         -5748.066880592378        -8581.036402515099        
1093.770831375732         -5744.227536531325        -8575.283107424337        
1119.277370537457         -5740.297360030512        -8569.394198185826        
1144.766137971892         -5736.276299604229        -8563.369598799407        
1170.23670906655          -5732.164302586505        -8557.209231504596        
1195.688657898281         -5727.961315128166        -8550.913016776307        
1221.121557200968         -5723.667282193928        -8544.480873320379        
1246.53497833258          -5719.282147559308        -8537.912718069107        
1271.928491242172         -5714.805853807527        -8531.208466176558        
1297.301664436702         -5710.238342326367        -8524.368031013917        
1322.654064947274         -5705.579553304924        -8517.391324164615        
1347.985258295492         -5700.829425730277        -8510.27825541946         
1373.294808459119         -5695.98789738417         -8503.028732771578        
1398.58227783785          -5691.054904839519        -8495.642662411334        
1423.847227218444         -5686.030383457008        -8488.119948721109        
1449.089215739863         -5680.914267381406        -8480.460494269988        
1474.307800857758         -5675.706489538032        -8472.664199808343        
1499.502538308909         -5670.406981628999        -8464.730964262337        
1524.672982075368         -5665.015674129434        -8456.660684728304        
1549.818684347789         -5659.532496283704        -8448.453256467048        
1574.93919548922          -5653.957376101476        -8440.108572898007        
1600.034063997737         -5648.290240353759        -8431.626525593369        
1625.102836469247         -5642.531014568827        -8423.007004272044        
1650.145057559712         -5636.679623028176        -8414.249896793557        
1675.160269946966         -5630.735988762302        -8405.355089151828        
1700.148014292412         -5624.700033546513        -8396.322465468857        
1725.107829201908         -5618.571677896543        -8387.151907988311        
1750.039251186652         -5612.350841064239        -8377.84329706899         
1774.941814623249         -5606.037441033099        -8368.39651117822         
1799.815051713958         -5599.631394513723        -8358.81142688512         
1824.658492445713         -5593.1326169393          -8349.087918853787        
1849.47166454955          -5586.541022460864        -8339.225859836333        
1874.25409345876          -5579.856523942668        -8329.225120665895        
1899.005302267266         -5573.079032957292        -8319.085570249481        
1923.724811687309         -5566.208459780901        -8308.807075560726        
1948.412140006199         -5559.244713388194        -8298.389501632555        
1973.066803043592         -5552.187701447489        -8287.832711549752        
1997.688314107014         -5545.037330315638        -8277.13656644139         
2022.276183948095         -5537.793505032867        -8266.300925473195        
2046.829920717224         -5530.456129317594        -8255.325645839795        
2071.349029918609         -5523.025105561144        -8244.210582756838        
2095.833014363889         -5515.500334822413        -8232.955589453071        
2120.281374125974         -5507.881716822405        -8221.560517162237        
2144.693606491899         -5500.169149938825        -8210.025215114933        
2169.06920591509          -5492.362531200488        -8198.349530530308        
2193.407663967286         -5484.461756281642        -8186.533308607726        
2217.70846928953          -5476.466719496413        -8174.576392518262        
2241.971107542922         -5468.377313792866        -8162.478623396124        
2266.195061358449         -5460.193430747342        -8150.239840329978        
2290.37981028622          -5451.91496055841         -8137.859880354146        
2314.524830744194         -5443.541792041011        -8125.338578439729        
2338.629595966078         -5435.07381262038         -8112.675767485598        
2362.69357594871          -5426.510908325901        -8099.871278309321        
2386.71623739833          -5417.852963784972        -8086.924939637942        
2410.697043676919         -5409.099862216768        -8073.836578098697        
2434.635454746953         -5400.251485425921        -8060.606018209604        
2458.530927115993         -5391.307713796079        -8047.233082369974        
2482.382913780282         -5382.268426283554        -8033.717590850782        
2506.190864167525         -5373.133500410753        -8020.059361784995        
2529.954224079265         -5363.902812259592        -8006.258211157754        
2553.672435631801         -5354.576236464884        -7992.31395279647         
2577.344937196758         -5345.153646207546        -7978.226398360832        
2600.971163340902         -5335.634913207934        -7963.9953573327          
2624.550544764614         -5326.019907718859        -7949.620637005915        
2648.082508239953         -5316.308498518818        -7935.10204247601         
2671.566476547509         -5306.500552904894        -7920.439376629809        
